School,G,W,STL,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,FG%,BLK,TOV,PF,,,,,,,
Utah State NCAA,35,28,215,11.98,0.89,2753,2349,1410,959,2038,274,772,0.355,559,747,0.748,377,1405,598,0.471,147,449,649,,Range,427,,,Range,0.172
DePaul,36,19,227,6,4.05,2821,2751,1450,1009,2143,241,703,0.343,562,773,0.727,396,1347,513,0.471,117,488,630,,Minimum,288,,,Minimum,0.354
Northern Illinois,34,17,188,2.58,1.11,2506,2413,1375,940,1995,229,642,0.357,397,543,0.731,304,1179,374,0.471,75,404,653,,Maximum,715,,,Maximum,0.526
Virginia Tech NCAA,35,26,236,19.28,7.79,2574,2172,1410,893,1900,327,831,0.394,461,606,0.761,310,1142,531,0.47,78,392,532,,Sum,156411,,,Sum,156.378
Ball State,33,16,217,3.39,1.21,2478,2362,1340,889,1892,202,621,0.325,498,709,0.702,308,1243,426,0.47,118,480,579,,Count,353,,,Count,353
Abilene Christian NCAA,34,27,297,-1.91,-7.34,2502,2161,1370,897,1911,251,660,0.38,457,642,0.712,325,1110,525,0.469,93,407,635,,,,,,,
Texas Tech NCAA,38,31,278,22.79,9.53,2765,2261,1530,990,2110,277,759,0.365,508,694,0.732,315,1297,518,0.469,186,457,663,,,,,,,
Boise State,33,13,200,3.61,1.08,2364,2263,1330,845,1801,252,715,0.352,422,584,0.723,242,1016,398,0.469,68,379,570,,,,,,,
Brigham Young,32,19,203,6.15,3.31,2527,2436,1295,878,1878,226,684,0.33,545,750,0.727,263,1118,482,0.468,107,354,625,,,,,,,
Drake,34,24,180,2.52,-0.66,2563,2387,1385,908,1943,279,773,0.361,468,618,0.757,279,1214,518,0.467,130,449,568,,,,,,,
San Francisco,31,21,188,8.56,1.13,2358,2101,1250,864,1851,258,727,0.355,372,568,0.655,340,1138,439,0.467,105,321,543,,,,,,,
Southern Mississippi,33,20,253,2.58,-0.83,2392,2160,1330,899,1929,275,712,0.386,321,489,0.656,274,1178,553,0.466,110,345,507,,,,,,,
Xavier,35,19,190,9.61,8.06,2526,2472,1420,922,1977,245,740,0.331,437,644,0.679,371,1281,519,0.466,128,450,550,,,,,,,
Southern Illinois,32,17,212,1.39,-0.17,2194,2144,1280,802,1720,213,570,0.374,377,550,0.685,289,1081,438,0.466,129,447,474,,,,,,,
Incarnate Word,31,6,184,-18.93,-5.11,2044,2355,1255,711,1527,174,508,0.343,448,553,0.81,204,845,354,0.466,53,504,592,,,,,,,
Oakland,33,16,191,-2.27,-1.48,2534,2515,1325,864,1859,314,816,0.385,492,663,0.742,275,1063,580,0.465,99,426,534,,,,,,,
Kansas NCAA,36,26,243,18.35,12.79,2725,2525,1455,989,2128,260,743,0.35,487,691,0.705,374,1376,478,0.465,139,472,610,,,,,,,
Central Florida NCAA,33,24,189,13.37,5.58,2385,2128,1325,819,1763,229,628,0.365,518,798,0.649,315,1215,439,0.465,150,393,554,,,,,,,
North Carolina NCAA,36,29,252,23.94,11.35,3089,2636,1445,1118,2410,312,862,0.362,541,728,0.743,477,1589,678,0.464,120,473,611,,,,,,,
Utah,31,17,144,6.13,5.1,2343,2311,1245,805,1735,298,806,0.37,435,616,0.706,317,1096,440,0.464,80,409,548,,,,,,,
North Dakota,30,12,171,-8.78,-3.55,2220,2196,1200,822,1771,241,647,0.372,335,482,0.695,233,1009,398,0.464,87,380,485,,,,,,,
Oregon State,31,18,185,7.84,4.29,2275,2165,1250,800,1728,203,633,0.321,472,636,0.742,310,1091,465,0.463,164,384,536,,,,,,,
Buffalo NCAA,36,32,263,15.56,2.62,3037,2550,1445,1083,2344,344,1022,0.337,527,767,0.687,452,1470,599,0.462,140,433,659,,,,,,,
Holy Cross,33,16,241,-6.43,-4.01,2216,2296,1335,848,1834,237,670,0.354,283,424,0.667,220,916,513,0.462,127,350,482,,,,,,,
Nevada NCAA,34,29,211,16,2.68,2723,2270,1360,924,1999,297,855,0.347,578,816,0.708,325,1274,498,0.462,134,352,584,,,,,,,
Jacksonville State,33,24,245,1.59,-5.47,2574,2283,1345,953,2063,200,634,0.315,468,630,0.743,400,1310,451,0.462,138,440,553,,,,,,,
Northern Colorado,32,21,176,-3.92,-6.76,2450,2229,1295,849,1837,307,849,0.362,445,633,0.703,309,1128,422,0.462,101,398,538,,,,,,,
Radford,33,22,196,1.28,-1.95,2440,2247,1330,893,1938,285,751,0.379,369,515,0.717,335,1170,467,0.461,101,358,528,,,,,,,
Southern California,33,16,202,8.23,4.96,2518,2410,1340,937,2039,281,735,0.382,363,563,0.645,324,1188,536,0.46,117,392,590,,,,,,,
New Mexico State NCAA,35,30,197,10.05,-2.38,2734,2259,1405,962,2092,326,977,0.334,484,714,0.678,445,1343,514,0.46,91,419,632,,,,,,,
Cal State Northridge,34,13,225,-6.54,-3.39,2601,2701,1375,968,2103,234,648,0.361,431,676,0.638,352,1214,512,0.46,154,410,641,,,,,,,
Mississippi NCAA,33,20,235,12.32,8.13,2485,2347,1325,876,1906,272,760,0.358,461,589,0.783,322,1128,475,0.46,118,416,603,,,,,,,
South Alabama,34,17,201,-4.46,-2.71,2478,2465,1375,867,1883,285,761,0.375,459,669,0.686,288,1094,471,0.46,141,456,649,,,,,,,
Sacred Heart,32,15,170,-7.88,-8.11,2558,2509,1285,885,1926,243,681,0.357,545,722,0.755,354,1231,471,0.46,133,465,572,,,,,,,
Drexel,32,13,144,-7.02,-2.93,2425,2475,1280,874,1900,237,669,0.354,440,584,0.753,312,1126,464,0.46,62,377,542,,,,,,,
Harvard,31,19,174,1.86,0.66,2222,2174,1265,787,1711,260,722,0.36,388,538,0.721,288,1119,369,0.46,123,491,554,,,,,,,
Illinois-Chicago,32,16,210,-3.15,-1.99,2391,2385,1295,865,1883,303,856,0.354,358,525,0.682,271,1106,478,0.459,124,457,684,,,,,,,
North Carolina A&T,32,19,215,-11.24,-9.88,2241,2209,1290,825,1797,227,649,0.35,364,548,0.664,291,1059,452,0.459,108,417,514,,,,,,,
Loyola (MD),32,11,278,-9.13,-4.6,2332,2477,1295,842,1836,210,616,0.341,438,617,0.71,292,997,448,0.459,73,444,573,,,,,,,
Delaware,33,17,149,-7.91,-4.82,2352,2380,1360,830,1808,282,746,0.378,410,564,0.727,254,1083,425,0.459,78,378,523,,,,,,,
Georgia State NCAA,34,24,269,2.44,0.65,2598,2491,1360,903,1968,330,859,0.384,462,694,0.666,273,1110,415,0.459,158,391,583,,,,,,,
Green Bay,38,21,291,-2.24,-0.36,3090,3036,1535,1106,2413,303,879,0.345,575,818,0.703,376,1406,578,0.458,154,500,730,,,,,,,
North Carolina State,36,24,257,14.94,6.22,2882,2568,1450,1061,2319,292,830,0.352,468,661,0.708,486,1390,539,0.458,138,449,691,,,,,,,
Vermont NCAA,34,27,188,4.88,-4.18,2508,2143,1370,864,1887,273,761,0.359,507,678,0.748,304,1194,399,0.458,136,377,568,,,,,,,
Texas Christian,37,23,255,13.81,9.6,2730,2574,1500,990,2168,281,813,0.346,469,688,0.682,395,1347,598,0.457,162,499,586,,,,,,,
San Diego,36,21,204,6.12,3.61,2591,2455,1460,914,2002,284,808,0.351,479,641,0.747,290,1238,516,0.457,112,466,667,,,,,,,
UC-Irvine NCAA,37,31,210,5.7,-2.3,2675,2353,1500,987,2159,252,701,0.359,449,640,0.702,429,1471,479,0.457,153,441,673,,,,,,,
UCLA,33,17,194,7.17,6.78,2580,2567,1335,919,2012,256,721,0.355,486,768,0.633,380,1361,472,0.457,136,467,563,,,,,,,
Indiana,35,19,226,13.82,10.1,2504,2374,1420,919,2009,211,676,0.312,455,695,0.655,341,1272,469,0.457,154,433,596,,,,,,,
North Carolina-Greensboro,36,29,315,4.08,-0.9,2738,2443,1445,997,2184,280,818,0.342,464,666,0.697,399,1251,453,0.457,140,423,631,,,,,,,
Louisiana State NCAA,35,28,308,16.5,9.16,2815,2558,1435,988,2162,236,740,0.319,603,802,0.752,460,1355,452,0.457,148,452,634,,,,,,,
Iowa NCAA,35,23,211,14.27,9.84,2740,2585,1415,914,2006,285,782,0.364,627,849,0.739,357,1246,542,0.456,112,427,565,,,,,,,
Montana State,32,15,169,-7.91,-5.81,2502,2552,1280,858,1882,306,818,0.374,480,651,0.737,292,1083,491,0.456,46,394,567,,,,,,,
Lamar,33,20,283,-5.94,-7.22,2597,2322,1340,902,1976,228,664,0.343,565,823,0.687,446,1282,481,0.456,97,473,622,,,,,,,
Houston Baptist,30,12,234,-9.36,-5.53,2465,2484,1225,865,1896,200,588,0.34,535,793,0.675,409,1142,449,0.456,54,442,593,,,,,,,
Oral Roberts,32,11,152,-9.34,-1.91,2314,2483,1285,854,1874,266,734,0.362,340,492,0.691,335,1147,434,0.456,107,447,575,,,,,,,
Texas Southern,38,24,309,-5.55,-6.99,3102,3008,1550,1083,2379,276,852,0.324,660,988,0.668,467,1503,591,0.455,114,589,679,,,,,,,
North Carolina Central NCAA,34,18,207,-11.53,-11.24,2429,2266,1365,874,1922,221,693,0.319,460,641,0.718,399,1265,526,0.455,93,515,610,,,,,,,
Campbell,33,20,218,-3.62,-4.39,2495,2328,1325,867,1906,313,912,0.343,448,590,0.759,266,1050,482,0.455,104,337,522,,,,,,,
Central Michigan,35,23,267,2.79,-0.34,2896,2690,1425,991,2177,305,822,0.371,609,908,0.671,419,1321,467,0.455,107,425,593,,,,,,,
Hartford,33,18,228,-3.95,-4.89,2477,2407,1345,848,1862,322,846,0.381,459,619,0.742,278,1050,462,0.455,69,401,556,,,,,,,
Winthrop,30,18,134,-2.89,-3.74,2499,2358,1210,855,1878,372,997,0.373,417,565,0.738,330,1232,460,0.455,83,456,535,,,,,,,
Jacksonville,32,12,213,-8.27,-4.74,2385,2402,1285,889,1953,213,645,0.33,394,582,0.677,330,1163,457,0.455,166,463,523,,,,,,,
Louisiana-Monroe,35,19,206,0.81,-1.96,2773,2637,1425,922,2029,353,891,0.396,576,737,0.782,317,1176,498,0.454,78,398,545,,,,,,,
Colorado,36,23,181,9.68,3.6,2648,2429,1445,924,2036,230,711,0.323,570,757,0.753,363,1352,478,0.454,107,479,616,,,,,,,
Pennsylvania,31,19,210,2.04,-0.76,2250,2117,1265,821,1810,282,803,0.351,326,511,0.638,270,1101,465,0.454,76,395,500,,,,,,,
Loyola Marymount,34,22,250,2.93,0.9,2278,2125,1360,817,1800,163,510,0.32,481,645,0.746,314,1098,460,0.454,102,425,602,,,,,,,
Fresno State,32,23,228,8.99,0.67,2448,2162,1285,847,1866,342,897,0.381,412,572,0.72,300,1137,457,0.454,111,400,592,,,,,,,
Marquette NCAA,34,24,168,14.78,6.96,2629,2363,1375,893,1969,319,822,0.388,524,692,0.757,331,1292,456,0.454,145,467,635,,,,,,,
UC-Santa Barbara,32,22,159,-1.62,-5.55,2350,2114,1290,825,1819,204,594,0.343,496,693,0.716,379,1204,431,0.454,106,355,558,,,,,,,
Cal State Fullerton,34,16,200,-3.29,-1.14,2437,2414,1385,868,1911,187,589,0.317,514,726,0.708,277,1224,407,0.454,118,450,639,,,,,,,
Appalachian State,32,11,171,-3.73,0.1,2557,2539,1290,880,1938,292,814,0.359,505,706,0.715,310,1127,406,0.454,90,418,585,,,,,,,
North Dakota State NCAA,35,19,160,-4.01,-2.07,2556,2541,1410,874,1926,332,910,0.365,476,613,0.777,229,1105,402,0.454,87,368,523,,,,,,,
Western Carolina,32,7,135,-9.28,0.34,2304,2563,1295,792,1744,296,800,0.37,424,628,0.675,303,1135,389,0.454,53,577,671,,,,,,,
Memphis,36,22,288,10.7,5.09,2882,2680,1450,1013,2238,260,807,0.322,596,835,0.714,436,1358,553,0.453,144,538,739,,,,,,,
Toledo,33,25,170,8.21,0.71,2537,2256,1330,901,1990,325,859,0.378,410,531,0.772,327,1281,538,0.453,152,402,517,,,,,,,
IUPUI,33,16,228,-2.72,-3.04,2507,2429,1320,891,1969,234,695,0.337,491,699,0.702,403,1233,471,0.453,103,462,578,,,,,,,
Coastal Carolina,34,17,214,-0.5,-1.94,2641,2520,1370,899,1986,284,766,0.371,559,778,0.719,376,1256,451,0.453,78,472,691,,,,,,,
Florida Gulf Coast,32,14,219,-5.11,-1.48,2280,2360,1280,809,1787,269,724,0.372,393,588,0.668,272,1064,449,0.453,133,479,514,,,,,,,
