School,G,W,STL,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,FG%,BLK,TOV,PF,,,,,,,
Little Rock,31,10,169,-4.87,-2.07,2301,2353,1250,817,1687,206,582,0.354,461,703,0.656,244,1060,443,0.484,87,503,622,,Correlation between assists and FG % for teams with < 500 assists,,,,,
College of Charleston,33,24,216,2.36,-2.95,2453,2265,1330,878,1818,227,667,0.34,470,615,0.764,260,1060,387,0.483,76,347,486,,,,AST,FG%,,
Utah Valley,35,25,201,3,-2.3,2697,2474,1400,930,1929,283,740,0.382,554,764,0.725,318,1271,484,0.482,89,487,612,,,AST,1,,,
Lehigh,31,20,171,-2.34,-4.46,2479,2413,1250,856,1775,287,679,0.423,480,620,0.774,232,1105,471,0.482,71,418,571,,,FG%,0.464919614,1,,
Purdue-Fort Wayne,33,18,247,-3.47,-3.6,2728,2556,1330,991,2059,360,949,0.379,386,557,0.693,271,1140,525,0.481,158,395,495,,,,,,,
Michigan State NCAA,39,32,201,24.93,12.34,3025,2534,1570,1071,2230,319,844,0.378,564,749,0.753,414,1579,715,0.48,205,493,647,,,,,,,
Lipscomb,37,29,268,9.21,-1.2,3076,2597,1480,1071,2230,327,876,0.373,607,801,0.758,329,1378,654,0.48,108,489,633,,Correlation between assists and FG % for teams with > .45 FG%,,,,,
Boston University,33,15,199,-6.61,-5.39,2385,2387,1325,922,1922,221,639,0.346,320,468,0.684,311,1091,447,0.48,73,425,578,,,,AST,FG%,,
Creighton,35,20,237,12,8.59,2727,2561,1420,980,2044,372,961,0.387,395,582,0.679,288,1196,561,0.479,92,464,580,,,AST,1,,,
Colgate NCAA,35,24,213,1.23,-3.83,2648,2458,1415,955,1995,320,815,0.393,418,563,0.742,322,1240,541,0.479,121,456,547,,,FG%,0.381545491,1,,
Duke NCAA,38,32,346,26.9,11.98,3143,2576,1525,1157,2418,278,903,0.308,551,803,0.686,495,1567,606,0.478,257,488,595,,,,,,,
Northern Kentucky NCAA,35,26,218,4.67,-2.39,2747,2410,1410,979,2047,306,844,0.363,483,725,0.666,364,1298,592,0.478,139,441,664,,,,,,,
Kentucky NCAA,37,30,220,21.43,10.29,2806,2394,1490,978,2050,215,607,0.354,635,859,0.739,427,1428,501,0.477,176,466,600,,Correlation between assists and FG % for teams with < .45 FG%,,,,,
Iowa State NCAA,35,23,247,18.07,9.3,2692,2385,1400,974,2047,294,811,0.363,450,615,0.732,327,1230,527,0.476,160,379,517,,,,AST,FG%,,
Northeastern NCAA,34,23,211,3.95,-0.7,2564,2406,1385,880,1848,328,858,0.382,476,634,0.751,237,1075,480,0.476,74,381,539,,,AST,1,,,
