School,G,W,W-L%,PF,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,SRS,TRB,AST,STL,BLK,TOV,ORB,,,,,,,
St. Bonaventure,34,18,0.529,553,0.25,2250,2145,1385,821,1914,0.429,208,635,0.328,400,539,0.742,3.34,1183,417,199,164,421,333,,,,,,,
DePaul,36,19,0.528,630,4.05,2821,2751,1450,1009,2143,0.471,241,703,0.343,562,773,0.727,6,1347,513,227,117,488,396,,,,,,,
Nebraska,36,19,0.528,580,11.31,2586,2421,1445,916,2133,0.429,270,800,0.338,484,694,0.697,14.85,1278,466,260,151,345,379,,,,,,,
California Baptist,31,16,0.516,623,-4.12,2403,2241,1260,831,1859,0.447,287,800,0.359,454,576,0.788,-3.89,1171,345,148,85,379,306,,,,,,,
Santa Clara,31,16,0.516,597,0.92,2115,2172,1255,735,1653,0.445,239,663,0.36,406,567,0.716,-1.91,1026,416,146,111,433,242,,,,,,,
Rider,31,16,0.516,591,-6.51,2381,2333,1245,847,1893,0.447,222,651,0.341,465,755,0.616,-4.96,1144,450,282,101,415,363,,,,,,,
Quinnipiac,31,16,0.516,524,-8.03,2294,2255,1270,739,1730,0.427,348,923,0.377,468,646,0.724,-6.78,1111,393,159,62,415,311,,,,,,,
High Point,31,16,0.516,502,-4.39,2115,2105,1255,763,1719,0.444,180,583,0.309,409,605,0.676,-5.63,1183,404,170,91,406,363,,,,,,,
St. Francis (NY),33,17,0.515,635,-8.45,2345,2320,1325,841,1989,0.423,270,806,0.335,393,580,0.678,-10.19,1191,387,194,136,413,346,,,,,,,
Texas-Arlington,33,17,0.515,630,0.84,2284,2303,1345,781,1908,0.409,234,773,0.303,488,659,0.741,-0.5,1235,421,211,97,467,372,,,,,,,
Southeastern Louisiana,33,17,0.515,602,-6.3,2224,2228,1320,765,1735,0.441,235,696,0.338,459,640,0.717,-7.59,1117,452,215,80,536,346,,,,,,,
Illinois State,33,17,0.515,577,0.25,2257,2314,1330,813,1887,0.431,244,734,0.332,387,540,0.717,-2.06,1139,421,162,106,417,298,,,,,,,
Florida Atlantic,33,17,0.515,575,-1.76,2322,2243,1335,809,1971,0.41,290,895,0.324,414,551,0.751,-1.42,1296,419,184,93,485,366,,,,,,,
Akron,33,17,0.515,569,1.09,2271,2107,1325,797,1948,0.409,297,929,0.32,380,539,0.705,4.86,1204,399,185,106,388,312,,,,,,,
Iona NCAA,33,17,0.515,564,-5.5,2532,2508,1320,857,1897,0.452,297,845,0.351,521,699,0.745,-4.78,1152,432,223,90,406,283,,,,,,,
UCLA,33,17,0.515,563,6.78,2580,2567,1335,919,2012,0.457,256,721,0.355,486,768,0.633,7.17,1361,472,194,136,467,380,,,,,,,
Samford,33,17,0.515,560,-2.03,2583,2487,1355,921,1951,0.472,254,687,0.37,487,666,0.731,0.69,1225,461,238,127,463,316,,,,,,,
Delaware,33,17,0.515,523,-4.82,2352,2380,1360,830,1808,0.459,282,746,0.378,410,564,0.727,-7.91,1083,425,149,78,378,254,,,,,,,
Siena,33,17,0.515,462,-6.47,2131,2178,1345,772,1779,0.434,288,849,0.339,299,440,0.68,-7.9,973,415,190,93,321,248,,,,,,,
Robert Morris,35,18,0.514,683,-7.62,2448,2403,1420,861,1991,0.432,280,789,0.355,446,638,0.699,-9.41,1178,487,257,92,507,373,,,,,,,
Hampton,35,18,0.514,649,-5.06,2847,2669,1430,966,2236,0.432,291,844,0.345,622,790,0.787,-3.34,1370,487,215,121,379,363,,,,,,,
Grambling,34,17,0.5,699,-9.34,2426,2336,1370,834,1846,0.452,223,553,0.403,535,781,0.685,-9.73,1287,420,193,147,536,307,,,,,,,
Southern Utah,34,17,0.5,696,-6.22,2573,2566,1380,881,1997,0.441,272,799,0.34,539,757,0.712,-8.91,1250,426,199,114,466,282,,,,,,,
Coastal Carolina,34,17,0.5,691,-1.94,2641,2520,1370,899,1986,0.453,284,766,0.371,559,778,0.719,-0.5,1256,451,214,78,472,376,,,,,,,
Illinois-Chicago,32,16,0.5,684,-1.99,2391,2385,1295,865,1883,0.459,303,856,0.354,358,525,0.682,-3.15,1106,478,210,124,457,271,,,,,,,
Portland State,32,16,0.5,681,-5.78,2475,2404,1290,856,2017,0.424,238,769,0.309,525,748,0.702,-8.95,1282,434,264,130,449,491,,,,,,,
Northern Illinois,34,17,0.5,653,1.11,2506,2413,1375,940,1995,0.471,229,642,0.357,397,543,0.731,2.58,1179,374,188,75,404,304,,,,,,,
Howard,34,17,0.5,652,-9.52,2684,2661,1370,937,2163,0.433,244,669,0.365,566,780,0.726,-12.3,1253,463,198,144,427,396,,,,,,,
South Alabama,34,17,0.5,649,-2.71,2478,2465,1375,867,1883,0.46,285,761,0.375,459,669,0.686,-4.46,1094,471,201,141,456,288,,,,,,,
South Carolina,32,16,0.5,623,9.63,2327,2316,1285,806,1907,0.423,242,662,0.366,473,694,0.682,8.34,1160,413,202,140,433,383,,,,,,,
Long Island University,32,16,0.5,610,-9.08,2373,2337,1285,822,1880,0.437,277,813,0.341,452,643,0.703,-8.99,1196,430,218,157,471,321,,,,,,,
Missouri State,32,16,0.5,540,-1.03,2206,2157,1285,774,1714,0.452,224,649,0.345,434,627,0.692,-1.2,1000,354,221,127,385,270,,,,,,,
American,30,15,0.5,520,-7.23,2161,2070,1220,780,1645,0.474,190,584,0.325,411,589,0.698,-4.19,1014,402,221,131,386,251,,,,,,,
Connecticut,33,16,0.485,643,4.32,2436,2354,1325,874,1959,0.446,252,732,0.344,436,641,0.68,6.81,1167,422,200,145,427,380,,,,,,,
Butler,33,16,0.485,593,8.1,2374,2337,1330,861,1934,0.445,292,827,0.353,360,488,0.738,9.22,1058,434,193,62,359,288,,,,,,,
Southern California,33,16,0.485,590,4.96,2518,2410,1340,937,2039,0.46,281,735,0.382,363,563,0.645,8.23,1188,536,202,117,392,324,,,,,,,
Ball State,33,16,0.485,579,1.21,2478,2362,1340,889,1892,0.47,202,621,0.325,498,709,0.702,3.39,1243,426,217,118,480,308,,,,,,,
IUPUI,33,16,0.485,578,-3.04,2507,2429,1320,891,1969,0.453,234,695,0.337,491,699,0.702,-2.72,1233,471,228,103,462,403,,,,,,,
North Florida,33,16,0.485,573,-0.7,2485,2531,1325,902,2014,0.448,308,897,0.343,373,539,0.692,-3.47,1252,520,212,165,536,363,,,,,,,
Oakland,33,16,0.485,534,-1.48,2534,2515,1325,864,1859,0.465,314,816,0.385,492,663,0.742,-2.27,1063,580,191,99,426,275,,,,,,,
Holy Cross,33,16,0.485,482,-4.01,2216,2296,1335,848,1834,0.462,237,670,0.354,283,424,0.667,-6.43,916,513,241,127,350,220,,,,,,,
Stanford,31,15,0.484,586,5.13,2255,2227,1245,808,1783,0.453,207,653,0.317,432,643,0.672,6.03,1147,392,186,147,467,322,,,,,,,
Indiana State,31,15,0.484,586,0.62,2146,2218,1250,757,1719,0.44,178,491,0.363,454,621,0.731,-2.72,1007,342,207,73,402,250,,,,,,,
Sacramento State,31,15,0.484,566,-6.78,2197,2155,1250,806,1800,0.448,175,527,0.332,410,592,0.693,-8.78,1050,431,239,104,404,308,,,,,,,
Cornell,31,15,0.484,492,-2.02,2149,2211,1260,754,1705,0.442,243,731,0.332,398,551,0.722,-6.12,1015,453,181,107,414,191,,,,,,,
Pepperdine,34,16,0.471,639,0.63,2572,2529,1370,865,1949,0.444,313,819,0.382,529,696,0.76,0.9,1085,479,229,95,432,290,,,,,,,
Cal State Fullerton,34,16,0.471,639,-1.14,2437,2414,1385,868,1911,0.454,187,589,0.317,514,726,0.708,-3.29,1224,407,200,118,450,277,,,,,,,
Eastern Washington,34,16,0.471,632,-4.17,2460,2527,1380,876,2040,0.429,310,886,0.35,398,546,0.729,-6.77,1192,467,200,101,401,299,,,,,,,
Longwood,34,16,0.471,624,-6.62,2407,2408,1375,803,1875,0.428,333,939,0.355,468,639,0.732,-8.43,1194,401,210,71,477,284,,,,,,,
Northern Iowa,34,16,0.471,554,0.62,2215,2230,1360,769,1847,0.416,276,792,0.348,401,537,0.747,-1.54,1115,370,165,75,393,262,,,,,,,
Canisius,32,15,0.469,627,-4.85,2250,2376,1295,798,1834,0.435,256,791,0.324,398,575,0.692,-8.79,1026,466,204,108,412,300,,,,,,,
Missouri,32,15,0.469,625,9.16,2150,2168,1290,758,1764,0.43,264,727,0.363,370,526,0.703,8.6,1130,354,149,53,448,345,,,,,,,
Massachusetts-Lowell,32,15,0.469,589,-6.95,2456,2420,1290,875,1852,0.472,246,721,0.341,460,639,0.72,-8.28,1115,500,181,85,447,293,,,,,,,
Miami (OH),32,15,0.469,581,2.31,2267,2233,1285,777,1847,0.421,269,832,0.323,444,626,0.709,0.77,1190,349,194,87,413,353,,,,,,,
Sacred Heart,32,15,0.469,572,-8.11,2558,2509,1285,885,1926,0.46,243,681,0.357,545,722,0.755,-7.88,1231,471,170,133,465,354,,,,,,,
Montana State,32,15,0.469,567,-5.81,2502,2552,1280,858,1882,0.456,306,818,0.374,480,651,0.737,-7.91,1083,491,169,46,394,292,,,,,,,
Eastern Michigan,32,15,0.469,529,4.43,2203,2213,1295,818,1823,0.449,187,634,0.295,380,604,0.629,0.4,1155,369,237,143,442,400,,,,,,,
Southern Methodist,32,15,0.469,515,4.12,2303,2249,1280,833,1884,0.442,263,772,0.341,374,523,0.715,5.81,1135,441,189,123,350,365,,,,,,,
Stephen F. Austin,30,14,0.467,579,-5.92,2105,2161,1210,745,1696,0.439,201,588,0.342,414,607,0.682,-10.99,1008,348,192,113,442,313,,,,,,,
Boston University,33,15,0.455,578,-5.39,2385,2387,1325,922,1922,0.48,221,639,0.346,320,468,0.684,-6.61,1091,447,199,73,425,311,,,,,,,
Valparaiso,33,15,0.455,546,-1,2205,2187,1335,802,1783,0.45,185,585,0.316,416,595,0.699,-3.38,1115,431,202,101,439,294,,,,,,,
Bethune-Cookman,31,14,0.452,610,-9.74,2290,2245,1250,833,1899,0.439,204,635,0.321,420,689,0.61,-11.98,1274,444,234,108,501,415,,,,,,,
Nicholls State,31,14,0.452,587,-6.98,2260,2302,1250,807,1914,0.422,324,883,0.367,322,418,0.77,-11.87,1041,428,208,128,386,280,,,,,,,
Rutgers,31,14,0.452,566,9.76,2105,2132,1250,771,1842,0.419,191,612,0.312,372,584,0.637,8.89,1210,390,201,124,408,391,,,,,,,
William & Mary,31,14,0.452,516,-2.08,2321,2385,1265,841,1773,0.474,254,735,0.346,385,576,0.668,-4.78,1057,529,158,146,390,251,,,,,,,
Boston College,31,14,0.452,509,7.76,2196,2256,1260,768,1808,0.425,218,687,0.317,442,633,0.698,5.83,1139,382,159,103,378,331,,,,,,,
Ohio,31,14,0.452,504,3.16,2174,2288,1255,803,1838,0.437,187,633,0.295,381,602,0.633,-1.84,1152,451,200,115,448,332,,,,,,,
Cal State Long Beach,34,15,0.441,620,-0.44,2545,2584,1375,877,2031,0.432,217,630,0.344,574,831,0.691,-4.57,1263,399,219,105,479,377,,,,,,,
Pacific,32,14,0.438,630,1.97,2138,2241,1290,710,1681,0.422,198,566,0.35,520,698,0.745,-2.46,1039,325,199,46,423,285,,,,,,,
New Mexico,32,14,0.438,627,1.61,2443,2454,1280,814,1927,0.422,292,844,0.346,523,745,0.702,-0.55,1199,446,220,107,455,351,,,,,,,
Texas A&M-Corpus Christi,32,14,0.438,610,-5.68,2126,2124,1290,774,1803,0.429,202,621,0.325,376,541,0.695,-9.11,1158,423,197,90,456,349,,,,,,,
Penn State,32,14,0.438,597,11.51,2229,2196,1295,791,1898,0.417,222,693,0.32,425,613,0.693,12.55,1174,389,245,122,399,382,,,,,,,
Eastern Illinois,32,14,0.438,569,-5.01,2299,2457,1310,826,1912,0.432,272,735,0.37,375,545,0.688,-11.81,1147,434,200,120,427,347,,,,,,,
Georgia Tech,32,14,0.438,560,8.15,2091,2130,1285,755,1714,0.44,176,573,0.307,405,588,0.689,6.93,1074,433,221,166,459,262,,,,,,,
Air Force,32,14,0.438,543,0.24,2179,2294,1300,802,1776,0.452,234,711,0.329,341,503,0.678,-4.28,1077,434,154,57,423,253,,,,,,,
Texas A&M,32,14,0.438,521,8.59,2253,2297,1280,806,1842,0.438,204,663,0.308,437,631,0.693,7.21,1195,376,215,142,444,372,,,,,,,
Florida Gulf Coast,32,14,0.438,514,-1.48,2280,2360,1280,809,1787,0.453,269,724,0.372,393,588,0.668,-5.11,1064,449,219,133,479,272,,,,,,,
Miami (FL),32,14,0.438,465,8.7,2297,2275,1285,805,1851,0.435,268,805,0.333,419,570,0.735,9.39,1061,413,212,100,372,291,,,,,,,
Wagner,30,13,0.433,639,-7.63,1974,2044,1205,655,1696,0.386,236,773,0.305,428,575,0.744,-12.99,1095,351,184,108,414,378,,,,,,,
South Dakota,30,13,0.433,527,-3.06,2118,2136,1205,729,1664,0.438,227,666,0.341,433,585,0.74,-5.52,942,382,165,68,324,219,,,,,,,
James Madison,33,14,0.424,612,-4.07,2322,2409,1350,821,1859,0.442,243,670,0.363,437,607,0.72,-8.52,1123,403,211,101,420,345,,,,,,,
Pittsburgh,33,14,0.424,611,6.69,2306,2267,1330,769,1841,0.418,225,680,0.331,543,779,0.697,7.88,1211,387,227,126,448,383,,,,,,,
Central Arkansas,33,14,0.424,611,-4.81,2383,2498,1330,810,1903,0.426,276,784,0.352,487,667,0.73,-11.37,1164,463,202,120,478,299,,,,,,,
Saint Joseph's,33,14,0.424,497,1.66,2328,2397,1325,793,1943,0.408,280,869,0.322,462,615,0.751,-0.43,1145,397,186,110,305,258,,,,,,,
Notre Dame,33,14,0.424,455,8.28,2266,2276,1320,776,1973,0.393,272,863,0.315,442,594,0.744,7.97,1208,423,179,148,306,370,,,,,,,
Eastern Kentucky,31,13,0.419,661,-2.47,2562,2577,1265,902,2125,0.424,272,832,0.327,486,683,0.712,-7.4,1167,458,317,101,447,362,,,,,,,
West Virginia,36,15,0.417,707,10.57,2655,2786,1460,901,2181,0.413,269,852,0.316,584,849,0.688,6.94,1425,488,223,126,557,519,,,,,,,
Arkansas State,32,13,0.406,684,-1.23,2359,2475,1310,796,1904,0.418,237,709,0.334,530,721,0.735,-7.1,1211,363,183,139,448,403,,,,,,,
Jackson State,32,13,0.406,643,-9.33,1974,2107,1285,717,1774,0.404,155,554,0.28,385,607,0.634,-14.6,1125,359,209,124,436,331,,,,,,,
Arkansas-Pine Bluff,32,13,0.406,629,-8.18,2108,2269,1300,719,1685,0.427,194,574,0.338,476,702,0.678,-14.43,1063,365,216,109,478,317,,,,,,,
Northwestern,32,13,0.406,583,9.16,2108,2082,1290,735,1827,0.402,233,744,0.313,405,551,0.735,9.97,1086,451,176,134,349,278,,,,,,,
Rice,32,13,0.406,568,-2.06,2367,2481,1305,795,1867,0.426,277,797,0.348,500,729,0.686,-6.56,1221,425,171,104,438,316,,,,,,,
Army,32,13,0.406,544,-4.73,2268,2305,1280,837,1956,0.428,272,863,0.315,322,471,0.684,-7.57,1125,499,198,50,376,259,,,,,,,
Drexel,32,13,0.406,542,-2.93,2425,2475,1280,874,1900,0.46,237,669,0.354,440,584,0.753,-7.02,1126,464,144,62,377,312,,,,,,,
Niagara,32,13,0.406,511,-7.77,2318,2432,1285,795,1887,0.421,265,738,0.359,463,629,0.736,-11.33,1143,343,128,127,390,315,,,,,,,
Monmouth,35,14,0.4,698,-4.83,2286,2490,1420,794,1915,0.415,168,565,0.297,530,773,0.686,-10.66,1224,379,237,101,502,360,,,,,,,
Houston Baptist,30,12,0.4,593,-5.53,2465,2484,1225,865,1896,0.456,200,588,0.34,535,793,0.675,-9.36,1142,449,234,54,442,409,,,,,,,
Citadel,30,12,0.4,528,0.03,2553,2584,1210,899,2011,0.447,370,1076,0.344,385,523,0.736,-7.94,1107,462,201,110,386,322,,,,,,,
Troy,30,12,0.4,523,-1.01,2179,2242,1210,773,1719,0.45,236,704,0.335,397,550,0.722,-6.12,1021,392,171,135,408,277,,,,,,,
North Dakota,30,12,0.4,485,-3.55,2220,2196,1200,822,1771,0.464,241,647,0.372,335,482,0.695,-8.78,1009,398,171,87,380,233,,,,,,,
Boise State,33,13,0.394,570,1.08,2364,2263,1330,845,1801,0.469,252,715,0.352,422,584,0.723,3.61,1016,398,200,68,379,242,,,,,,,
Morehead State,33,13,0.394,561,-1.76,2431,2543,1335,855,1993,0.429,260,762,0.341,461,654,0.705,-7.73,1177,440,186,137,402,357,,,,,,,
Richmond,33,13,0.394,488,-0.79,2314,2333,1320,849,1800,0.472,251,723,0.347,365,552,0.661,-1.37,957,519,249,101,336,196,,,,,,,
Marist,31,12,0.387,583,-7.53,2086,2147,1250,739,1647,0.449,245,675,0.363,363,530,0.685,-9.49,967,377,172,53,387,241,,,,,,,
Florida A&M,31,12,0.387,580,-8.09,1927,2057,1245,719,1640,0.438,180,489,0.368,309,503,0.614,-13.57,991,355,226,111,499,288,,,,,,,
Alabama State,31,12,0.387,565,-7.84,2086,2235,1250,712,1764,0.404,216,673,0.321,446,684,0.652,-15.6,1094,313,203,102,451,365,,,,,,,
Navy,31,12,0.387,534,-4,2061,2250,1240,732,1785,0.41,208,656,0.317,389,544,0.715,-10.09,1160,399,167,58,437,359,,,,,,,
Tennessee-Martin,31,12,0.387,490,-4.32,2356,2486,1250,854,1915,0.446,250,726,0.344,398,528,0.754,-10.94,1062,441,223,88,418,351,,,,,,,
Cal State Northridge,34,13,0.382,641,-3.39,2601,2701,1375,968,2103,0.46,234,648,0.361,431,676,0.638,-6.54,1214,512,225,154,410,352,,,,,,,
Youngstown State,32,12,0.375,656,-2.05,2415,2526,1305,879,2057,0.427,303,891,0.34,354,505,0.701,-7.78,1207,449,210,115,423,418,,,,,,,
Albany (NY),32,12,0.375,566,-6.7,2150,2216,1300,728,1750,0.416,274,790,0.347,420,564,0.745,-9.38,1081,402,195,78,454,294,,,,,,,
Fordham,32,12,0.375,559,-2.4,2108,2141,1295,759,1890,0.402,276,831,0.332,314,462,0.68,-5.02,1082,360,188,108,345,305,,,,,,,
Chattanooga,32,12,0.375,553,-0.76,2268,2376,1285,833,1881,0.443,290,795,0.365,312,457,0.683,-7.87,1095,418,139,79,409,278,,,,,,,
Jacksonville,32,12,0.375,523,-4.74,2385,2402,1285,889,1953,0.455,213,645,0.33,394,582,0.677,-8.27,1163,457,213,166,463,330,,,,,,,
Colorado State,32,12,0.375,522,1.41,2393,2406,1285,866,1818,0.476,259,722,0.359,402,579,0.694,-0.11,1080,472,199,76,372,256,,,,,,,
Oklahoma State,32,12,0.375,516,11.53,2178,2288,1285,760,1796,0.423,280,753,0.372,378,549,0.689,8.09,1093,422,183,139,386,295,,,,,,,
Idaho State,30,11,0.367,497,-4.81,2198,2369,1200,779,1742,0.447,274,752,0.364,366,498,0.735,-13.17,975,383,154,88,360,275,,,,,,,
Dartmouth,30,11,0.367,468,-3,2160,2116,1210,791,1750,0.452,264,721,0.366,314,436,0.72,-5.75,1020,426,158,100,361,246,,,,,,,
Illinois,33,12,0.364,700,11.53,2398,2483,1335,862,2001,0.431,259,751,0.345,415,591,0.702,8.95,1091,446,245,86,435,351,,,,,,,
Columbia,28,10,0.357,539,-2.14,2059,2052,1160,778,1720,0.452,237,655,0.362,266,377,0.706,-5.18,985,443,218,78,366,255,,,,,,,
Central Connecticut State,31,11,0.355,597,-6.71,2205,2367,1260,754,1821,0.414,201,612,0.328,496,634,0.782,-14.02,1107,353,172,110,427,332,,,,,,,
UC-Davis,31,11,0.355,596,-1.5,2038,2128,1260,735,1673,0.439,203,619,0.328,365,515,0.709,-6.26,929,375,196,71,412,218,,,,,,,
Northwestern State,31,11,0.355,578,-5.99,2051,2280,1250,725,1790,0.405,190,646,0.294,411,604,0.68,-17.06,1103,340,192,138,496,352,,,,,,,
Savannah State,31,11,0.355,564,-9.04,2360,2694,1245,825,2080,0.397,351,1199,0.293,359,531,0.676,-20.51,1188,462,234,96,478,383,,,,,,,
Mercer,31,11,0.355,557,-0.24,2248,2246,1245,787,1746,0.451,228,663,0.344,446,648,0.688,-2.86,1057,393,207,80,407,307,,,,,,,
Wake Forest,31,11,0.355,555,8.47,2119,2344,1250,714,1812,0.394,197,640,0.308,494,681,0.725,1.21,1174,329,150,77,417,399,,,,,,,
Detroit Mercy,31,11,0.355,528,-0.36,2279,2464,1240,784,1874,0.418,294,825,0.356,417,581,0.718,-6.33,1019,319,238,77,355,336,,,,,,,
Manhattan,32,11,0.344,672,-7.32,1833,2011,1285,651,1608,0.405,219,661,0.331,312,534,0.584,-12.89,1026,360,221,78,487,326,,,,,,,
Missouri-Kansas City,32,11,0.344,647,-1.55,2220,2341,1290,774,1794,0.431,259,728,0.356,413,590,0.7,-6.61,966,351,233,90,391,261,,,,,,,
Massachusetts,32,11,0.344,643,-0.18,2263,2354,1290,808,1831,0.441,256,732,0.35,391,574,0.681,-3.02,1123,468,154,93,445,342,,,,,,,
Evansville,32,11,0.344,602,0.13,2234,2317,1295,747,1776,0.421,264,776,0.34,476,660,0.721,-3.84,1095,394,185,89,416,215,,,,,,,
Appalachian State,32,11,0.344,585,0.1,2557,2539,1290,880,1938,0.454,292,814,0.359,505,706,0.715,-3.73,1127,406,171,90,418,310,,,,,,,
Middle Tennessee,32,11,0.344,583,1.44,2141,2313,1280,778,1858,0.419,212,650,0.326,373,551,0.677,-6.09,1228,352,190,85,512,382,,,,,,,
Oral Roberts,32,11,0.344,575,-1.91,2314,2483,1285,854,1874,0.456,266,734,0.362,340,492,0.691,-9.34,1147,434,152,107,447,335,,,,,,,
Loyola (MD),32,11,0.344,573,-4.6,2332,2477,1295,842,1836,0.459,210,616,0.341,438,617,0.71,-9.13,997,448,278,73,444,292,,,,,,,
Georgia,32,11,0.344,565,8.12,2274,2364,1280,776,1761,0.441,210,653,0.322,512,726,0.705,5.31,1215,423,185,163,506,357,,,,,,,
Washington State,32,11,0.344,554,2.2,2393,2517,1280,833,1861,0.448,301,828,0.364,426,564,0.755,-1.67,1076,478,169,89,440,276,,,,,,,
VMI,32,11,0.344,541,0.09,2433,2617,1290,843,1974,0.427,323,899,0.359,424,581,0.73,-10.5,1110,442,217,61,390,280,,,,,,,
Elon,32,11,0.344,539,-3.56,2266,2445,1290,812,1862,0.436,335,943,0.355,307,443,0.693,-11.53,1082,468,135,62,413,265,,,,,,,
Bryant,30,10,0.333,575,-7.66,2088,2314,1200,709,1680,0.422,230,708,0.325,440,618,0.712,-15.19,969,319,158,79,383,285,,,,,,,
Lafayette,30,10,0.333,515,-4.93,2209,2349,1220,802,1786,0.449,280,736,0.38,325,437,0.744,-11.17,1004,419,158,126,402,233,,,,,,,
La Salle,31,10,0.323,630,1.29,2091,2243,1240,719,1798,0.4,259,783,0.331,394,512,0.77,-3.61,1060,391,230,98,435,328,,,,,,,
East Carolina,31,10,0.323,622,1.31,2088,2299,1255,749,1791,0.418,155,545,0.284,435,638,0.682,-5.49,1061,382,224,110,416,317,,,,,,,
Little Rock,31,10,0.323,622,-2.07,2301,2353,1250,817,1687,0.484,206,582,0.354,461,703,0.656,-4.87,1060,443,169,87,503,244,,,,,,,
Southeast Missouri State,31,10,0.323,615,-4.39,2216,2378,1265,796,1809,0.44,266,719,0.37,358,519,0.69,-11.32,1081,402,182,75,447,284,,,,,,,
SIU Edwardsville,31,10,0.323,612,-5.06,2265,2520,1280,794,1898,0.418,201,665,0.302,476,677,0.703,-14.47,1079,382,198,70,438,351,,,,,,,
Cleveland State,31,10,0.323,551,-1.52,2300,2437,1250,799,1834,0.436,303,820,0.37,399,585,0.682,-7.96,1093,460,174,97,412,303,,,,,,,
Alcorn State,31,10,0.323,548,-8.97,1995,2194,1245,709,1721,0.412,211,646,0.327,366,543,0.674,-22.08,1079,391,229,107,492,334,,,,,,,
Northern Arizona,31,10,0.323,537,-6.23,2262,2402,1250,785,1819,0.432,259,749,0.346,433,614,0.705,-10.75,1055,381,196,65,372,290,,,,,,,
Western Illinois,31,10,0.323,487,-5.18,2198,2272,1245,818,1860,0.44,241,626,0.385,321,440,0.73,-10.04,1100,319,165,132,353,254,,,,,,,
North Alabama,32,10,0.313,614,-1.69,2145,2358,1285,744,1914,0.389,240,805,0.298,417,619,0.674,-11,1170,334,209,74,435,351,,,,,,,
Saint Peter's,32,10,0.313,614,-6.4,2012,2196,1305,707,1639,0.431,184,567,0.325,414,570,0.726,-12.15,1032,301,172,177,488,293,,,,,,,
Towson,32,10,0.313,561,-3.57,2170,2294,1310,810,1860,0.435,180,550,0.327,370,532,0.695,-8.44,1184,319,154,94,390,389,,,,,,,
North Carolina-Wilmington,33,10,0.303,585,-2.04,2515,2670,1335,880,1986,0.443,260,744,0.349,493,673,0.733,-8.1,1221,495,150,68,436,387,,,,,,,
UC-Riverside,33,10,0.303,562,-3.19,2153,2279,1325,792,1787,0.443,279,743,0.376,290,424,0.684,-11.12,1051,425,164,60,425,286,,,,,,,
Binghamton,33,10,0.303,474,-4.69,2152,2376,1320,793,1842,0.431,275,788,0.349,291,452,0.644,-13.92,1060,324,183,152,409,244,,,,,,,
Tennessee State,30,9,0.3,735,-3.15,2182,2332,1210,751,1739,0.432,240,716,0.335,440,628,0.701,-11.62,1032,342,219,78,497,317,,,,,,,
Morgan State,30,9,0.3,614,-10.7,2161,2304,1210,758,1920,0.395,168,521,0.322,477,669,0.713,-15.98,1078,362,230,48,401,397,,,,,,,
Fairfield,31,9,0.29,612,-7.14,2072,2167,1240,761,1755,0.434,259,740,0.35,291,420,0.693,-10.2,968,401,202,63,436,273,,,,,,,
Milwaukee,31,9,0.29,579,-2.5,2146,2315,1245,765,1820,0.42,237,692,0.342,379,508,0.746,-8.9,1094,356,145,94,382,288,,,,,,,
Mount St. Mary's,31,9,0.29,576,-6.02,2092,2286,1240,733,1755,0.418,223,723,0.308,403,594,0.678,-14.57,1036,354,146,107,410,293,,,,,,,
McNeese State,31,9,0.29,467,-6.15,2149,2303,1245,760,1676,0.453,168,548,0.307,461,647,0.713,-14.41,1054,429,147,97,450,310,,,,,,,
Vanderbilt,32,9,0.281,568,7.79,2180,2315,1285,736,1750,0.421,230,739,0.311,478,710,0.673,3.57,1139,371,154,126,454,325,,,,,,,
Texas-El Paso,29,8,0.276,551,-1.71,1859,2001,1170,639,1592,0.401,199,620,0.321,382,578,0.661,-8.23,1070,307,135,84,466,285,,,,,,,
Charlotte,29,8,0.276,490,-0.89,1776,1992,1160,598,1442,0.415,191,615,0.311,389,524,0.742,-8.34,892,288,138,101,418,199,,,,,,,
George Washington,33,9,0.273,526,1.2,2097,2356,1340,745,1842,0.404,196,631,0.311,411,600,0.685,-6.65,1116,375,170,96,413,274,,,,,,,
Denver,30,8,0.267,506,-2.97,2086,2319,1205,755,1723,0.438,227,622,0.365,349,460,0.759,-11.84,1041,354,142,78,408,275,,,,,,,
University of California,31,8,0.258,574,5.42,2121,2387,1245,739,1735,0.426,207,592,0.35,436,603,0.723,-3.16,900,338,227,99,352,249,,,,,,,
Tennessee Tech,31,8,0.258,554,-3,2104,2350,1250,742,1784,0.416,213,620,0.344,407,645,0.631,-14.76,1122,389,226,134,517,330,,,,,,,
Wyoming,32,8,0.25,588,0.19,2105,2411,1285,690,1656,0.417,248,720,0.344,477,660,0.723,-9.75,983,331,176,88,450,167,,,,,,,
Western Michigan,32,8,0.25,564,1.48,2246,2439,1300,774,1822,0.425,228,723,0.315,470,680,0.691,-6.26,1197,374,147,78,490,345,,,,,,,
Coppin State,33,8,0.242,620,-7.11,2118,2507,1330,710,1827,0.389,240,841,0.285,458,689,0.665,-18.9,1218,326,169,115,555,314,,,,,,,
South Carolina State,34,8,0.235,670,-8.3,2388,2593,1375,811,1891,0.429,193,582,0.332,573,772,0.742,-16.86,1137,386,167,60,493,376,,,,,,,
