School,G,W,TRB,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,FG%,AST,STL,BLK,TOV,PF,,,,,
Central Arkansas,33,14,1164,-11.37,-4.81,2383,2498,1330,810,1903,276,784,0.352,487,667,0.73,299,0.426,463,202,120,478,611,,,,,
Jacksonville,32,12,1163,-8.27,-4.74,2385,2402,1285,889,1953,213,645,0.33,394,582,0.677,330,0.455,457,213,166,463,523,,,,,
Kennesaw State,32,6,1163,-16.17,-1.04,2030,2455,1285,742,1945,136,438,0.311,410,590,0.695,372,0.381,362,185,106,437,525,,,,,
South Carolina,32,16,1160,8.34,9.63,2327,2316,1285,806,1907,242,662,0.366,473,694,0.682,383,0.423,413,202,140,433,623,,,,,
Navy,31,12,1160,-10.09,-4,2061,2250,1240,732,1785,208,656,0.317,389,544,0.715,359,0.41,399,167,58,437,534,,,,,
Texas A&M-Corpus Christi,32,14,1158,-9.11,-5.68,2126,2124,1290,774,1803,202,621,0.325,376,541,0.695,349,0.429,423,197,90,456,610,,,,,
Yale NCAA,30,22,1157,5.52,-1.24,2427,2202,1215,893,1812,230,634,0.363,411,557,0.738,259,0.493,503,177,131,392,510,,,,,
Brown,32,20,1157,-0.62,-3.29,2355,2204,1290,805,1818,255,745,0.342,490,685,0.715,261,0.443,418,241,123,458,600,,,,,
Fairleigh Dickinson NCAA,35,21,1155,-6.09,-7.24,2620,2515,1420,921,1939,269,672,0.4,509,702,0.725,323,0.475,486,261,132,477,578,,,,,
Eastern Michigan,32,15,1155,0.4,4.43,2203,2213,1295,818,1823,187,634,0.295,380,604,0.629,400,0.449,369,237,143,442,529,,,,,
Bucknell,33,21,1154,0.59,-2.93,2534,2418,1325,867,1928,311,885,0.351,489,653,0.749,286,0.45,519,173,116,409,627,,,,,
Arkansas,34,18,1152,11.75,8.78,2559,2458,1370,893,2004,259,751,0.345,514,769,0.668,345,0.446,543,276,172,450,693,,,,,
Iona NCAA,33,17,1152,-4.78,-5.5,2532,2508,1320,857,1897,297,845,0.351,521,699,0.745,283,0.452,432,223,90,406,564,,,,,
Ohio,31,14,1152,-1.84,3.16,2174,2288,1255,803,1838,187,633,0.295,381,602,0.633,332,0.437,451,200,115,448,504,,,,,
Prairie View NCAA,35,22,1151,-7.29,-9.17,2627,2547,1400,903,2061,225,703,0.32,596,875,0.681,392,0.438,445,309,55,445,758,,,,,
Stanford,31,15,1147,6.03,5.13,2255,2227,1245,808,1783,207,653,0.317,432,643,0.672,322,0.453,392,186,147,467,586,,,,,
Eastern Illinois,32,14,1147,-11.81,-5.01,2299,2457,1310,826,1912,272,735,0.37,375,545,0.688,347,0.432,434,200,120,427,569,,,,,
Oral Roberts,32,11,1147,-9.34,-1.91,2314,2483,1285,854,1874,266,734,0.362,340,492,0.691,335,0.456,434,152,107,447,575,,,,,
Dayton,33,21,1145,9.67,2.91,2406,2183,1335,902,1789,205,617,0.332,397,575,0.69,261,0.504,541,164,81,414,463,,,,,
Maryland-Baltimore County,34,21,1145,-5.85,-5.85,2296,2177,1400,820,1893,261,807,0.323,395,573,0.689,296,0.433,453,268,83,428,578,,,,,
Saint Joseph's,33,14,1145,-0.43,1.66,2328,2397,1325,793,1943,280,869,0.322,462,615,0.751,258,0.408,397,186,110,305,497,,,,,
Rider,31,16,1144,-4.96,-6.51,2381,2333,1245,847,1893,222,651,0.341,465,755,0.616,363,0.447,450,282,101,415,591,,,,,
Delaware State,31,6,1144,-26.82,-10.13,1956,2371,1240,695,1963,234,789,0.297,332,489,0.679,378,0.354,333,214,66,435,589,,,,,
Niagara,32,13,1143,-11.33,-7.77,2318,2432,1285,795,1887,265,738,0.359,463,629,0.736,315,0.421,343,128,127,390,511,,,,,
Virginia Tech NCAA,35,26,1142,19.28,7.79,2574,2172,1410,893,1900,327,831,0.394,461,606,0.761,310,0.47,531,236,78,392,532,,,,,
Louisiana,32,19,1142,-2.07,-1.51,2612,2575,1290,901,2026,283,821,0.345,527,710,0.742,364,0.445,487,226,125,423,612,,,,,
Houston Baptist,30,12,1142,-9.36,-5.53,2465,2484,1225,865,1896,200,588,0.34,535,793,0.675,409,0.456,449,234,54,442,593,,,,,
Purdue-Fort Wayne,33,18,1140,-3.47,-3.6,2728,2556,1330,991,2059,360,949,0.379,386,557,0.693,271,0.481,525,247,158,395,495,,,,,
Illinois State,33,17,1139,-2.06,0.25,2257,2314,1330,813,1887,244,734,0.332,387,540,0.717,298,0.431,421,162,106,417,577,,,,,
Boston College,31,14,1139,5.83,7.76,2196,2256,1260,768,1808,218,687,0.317,442,633,0.698,331,0.425,382,159,103,378,509,,,,,
Vanderbilt,32,9,1139,3.57,7.79,2180,2315,1285,736,1750,230,739,0.311,478,710,0.673,325,0.421,371,154,126,454,568,,,,,
San Francisco,31,21,1138,8.56,1.13,2358,2101,1250,864,1851,258,727,0.355,372,568,0.655,340,0.467,439,188,105,321,543,,,,,
Kansas State NCAA,34,25,1137,15.39,9.18,2236,2025,1360,806,1878,241,721,0.334,383,574,0.667,325,0.429,464,256,76,385,550,,,,,
Fresno State,32,23,1137,8.99,0.67,2448,2162,1285,847,1866,342,897,0.381,412,572,0.72,300,0.454,457,228,111,400,592,,,,,
South Carolina State,34,8,1137,-16.86,-8.3,2388,2593,1375,811,1891,193,582,0.332,573,772,0.742,376,0.429,386,167,60,493,670,,,,,
Temple NCAA,33,23,1136,8.17,4.93,2465,2358,1340,873,1998,247,748,0.33,472,649,0.727,316,0.437,476,284,73,368,581,,,,,
Southern Methodist,32,15,1135,5.81,4.12,2303,2249,1280,833,1884,263,772,0.341,374,523,0.715,365,0.442,441,189,123,350,515,,,,,
Western Carolina,32,7,1135,-9.28,0.34,2304,2563,1295,792,1744,296,800,0.37,424,628,0.675,303,0.454,389,135,53,577,671,,,,,
Duquesne,32,19,1133,0.53,-0.63,2351,2314,1295,810,1894,271,841,0.322,460,663,0.694,379,0.428,442,250,151,451,580,,,,,
Tulane,31,4,1131,-6.72,3.63,2082,2403,1240,733,1783,213,670,0.318,403,585,0.689,298,0.411,444,147,109,467,535,,,,,
Missouri,32,15,1130,8.6,9.16,2150,2168,1290,758,1764,264,727,0.363,370,526,0.703,345,0.43,354,149,53,448,625,,,,,
San Jose State,31,4,1130,-16.37,0.59,2042,2534,1250,713,1765,210,641,0.328,406,620,0.655,323,0.404,423,131,52,484,539,,,,,
Washington NCAA,36,27,1129,12.01,7.01,2511,2331,1445,883,1956,273,780,0.35,472,679,0.695,334,0.451,419,323,206,479,653,,,,,
Northern Colorado,32,21,1128,-3.92,-6.76,2450,2229,1295,849,1837,307,849,0.362,445,633,0.703,309,0.462,422,176,101,398,538,,,,,
Mississippi NCAA,33,20,1128,12.32,8.13,2485,2347,1325,876,1906,272,760,0.358,461,589,0.783,322,0.46,475,235,118,416,603,,,,,
Appalachian State,32,11,1127,-3.73,0.1,2557,2539,1290,880,1938,292,814,0.359,505,706,0.715,310,0.454,406,171,90,418,585,,,,,
Drexel,32,13,1126,-7.02,-2.93,2425,2475,1280,874,1900,237,669,0.354,440,584,0.753,312,0.46,464,144,62,377,542,,,,,
Army,32,13,1125,-7.57,-4.73,2268,2305,1280,837,1956,272,863,0.315,322,471,0.684,259,0.428,499,198,50,376,544,,,,,
Jackson State,32,13,1125,-14.6,-9.33,1974,2107,1285,717,1774,155,554,0.28,385,607,0.634,331,0.404,359,209,124,436,643,,,,,
James Madison,33,14,1123,-8.52,-4.07,2322,2409,1350,821,1859,243,670,0.363,437,607,0.72,345,0.442,403,211,101,420,612,,,,,
Massachusetts,32,11,1123,-3.02,-0.18,2263,2354,1290,808,1831,256,732,0.35,391,574,0.681,342,0.441,468,154,93,445,643,,,,,
Tennessee Tech,31,8,1122,-14.76,-3,2104,2350,1250,742,1784,213,620,0.344,407,645,0.631,330,0.416,389,226,134,517,554,,,,,
St. John's (NY) NCAA,34,21,1120,7.88,5.5,2623,2542,1375,944,2100,289,809,0.357,446,620,0.719,264,0.45,472,302,111,357,650,,,,,
Harvard,31,19,1119,1.86,0.66,2222,2174,1265,787,1711,260,722,0.36,388,538,0.721,288,0.46,369,174,123,491,554,,,,,
Tulsa,32,18,1119,4.65,3.86,2296,2271,1290,776,1732,222,652,0.34,522,751,0.695,239,0.448,430,176,76,404,529,,,,,
Brigham Young,32,19,1118,6.15,3.31,2527,2436,1295,878,1878,226,684,0.33,545,750,0.727,263,0.468,482,203,107,354,625,,,,,
Southeastern Louisiana,33,17,1117,-7.59,-6.3,2224,2228,1320,765,1735,235,696,0.338,459,640,0.717,346,0.441,452,215,80,536,602,,,,,
George Washington,33,9,1116,-6.65,1.2,2097,2356,1340,745,1842,196,631,0.311,411,600,0.685,274,0.404,375,170,96,413,526,,,,,
Arizona,32,17,1115,8.32,6.32,2269,2205,1290,794,1861,235,699,0.336,446,620,0.719,324,0.427,398,165,73,370,594,,,,,
Northern Iowa,34,16,1115,-1.54,0.62,2215,2230,1360,769,1847,276,792,0.348,401,537,0.747,262,0.416,370,165,75,393,554,,,,,
Massachusetts-Lowell,32,15,1115,-8.28,-6.95,2456,2420,1290,875,1852,246,721,0.341,460,639,0.72,293,0.472,500,181,85,447,589,,,,,
Valparaiso,33,15,1115,-3.38,-1,2205,2187,1335,802,1783,185,585,0.316,416,595,0.699,294,0.45,431,202,101,439,546,,,,,
Quinnipiac,31,16,1111,-6.78,-8.03,2294,2255,1270,739,1730,348,923,0.377,468,646,0.724,311,0.427,393,159,62,415,524,,,,,
Abilene Christian NCAA,34,27,1110,-1.91,-7.34,2502,2161,1370,897,1911,251,660,0.38,457,642,0.712,325,0.469,525,297,93,407,635,,,,,
Georgia State NCAA,34,24,1110,2.44,0.65,2598,2491,1360,903,1968,330,859,0.384,462,694,0.666,273,0.459,415,269,158,391,583,,,,,
VMI,32,11,1110,-10.5,0.09,2433,2617,1290,843,1974,323,899,0.359,424,581,0.73,280,0.427,442,217,61,390,541,,,,,
Stetson,31,7,1110,-15.01,-3.46,2151,2429,1245,794,1962,215,684,0.314,348,503,0.692,359,0.405,418,210,94,394,536,,,,,
Citadel,30,12,1107,-7.94,0.03,2553,2584,1210,899,2011,370,1076,0.344,385,523,0.736,322,0.447,462,201,110,386,528,,,,,
Central Connecticut State,31,11,1107,-14.02,-6.71,2205,2367,1260,754,1821,201,612,0.328,496,634,0.782,332,0.414,353,172,110,427,597,,,,,
Illinois-Chicago,32,16,1106,-3.15,-1.99,2391,2385,1295,865,1883,303,856,0.354,358,525,0.682,271,0.459,478,210,124,457,684,,,,,
Lehigh,31,20,1105,-2.34,-4.46,2479,2413,1250,856,1775,287,679,0.423,480,620,0.774,232,0.482,471,171,71,418,571,,,,,
North Dakota State NCAA,35,19,1105,-4.01,-2.07,2556,2541,1410,874,1926,332,910,0.365,476,613,0.777,229,0.454,402,160,87,368,523,,,,,
Northwestern State,31,11,1103,-17.06,-5.99,2051,2280,1250,725,1790,190,646,0.294,411,604,0.68,352,0.405,340,192,138,496,578,,,,,
Pennsylvania,31,19,1101,2.04,-0.76,2250,2117,1265,821,1810,282,803,0.351,326,511,0.638,270,0.454,465,210,76,395,500,,,,,
Western Illinois,31,10,1100,-10.04,-5.18,2198,2272,1245,818,1860,241,626,0.385,321,440,0.73,254,0.44,319,165,132,353,487,,,,,
Loyola Marymount,34,22,1098,2.93,0.9,2278,2125,1360,817,1800,163,510,0.32,481,645,0.746,314,0.454,460,250,102,425,602,,,,,
Utah,31,17,1096,6.13,5.1,2343,2311,1245,805,1735,298,806,0.37,435,616,0.706,317,0.464,440,144,80,409,548,,,,,
Wagner,30,13,1095,-12.99,-7.63,1974,2044,1205,655,1696,236,773,0.305,428,575,0.744,378,0.386,351,184,108,414,639,,,,,
Chattanooga,32,12,1095,-7.87,-0.76,2268,2376,1285,833,1881,290,795,0.365,312,457,0.683,278,0.443,418,139,79,409,553,,,,,
Evansville,32,11,1095,-3.84,0.13,2234,2317,1295,747,1776,264,776,0.34,476,660,0.721,215,0.421,394,185,89,416,602,,,,,
South Alabama,34,17,1094,-4.46,-2.71,2478,2465,1375,867,1883,285,761,0.375,459,669,0.686,288,0.46,471,201,141,456,649,,,,,
Alabama State,31,12,1094,-15.6,-7.84,2086,2235,1250,712,1764,216,673,0.321,446,684,0.652,365,0.404,313,203,102,451,565,,,,,
Milwaukee,31,9,1094,-8.9,-2.5,2146,2315,1245,765,1820,237,692,0.342,379,508,0.746,288,0.42,356,145,94,382,579,,,,,
Oklahoma State,32,12,1093,8.09,11.53,2178,2288,1285,760,1796,280,753,0.372,378,549,0.689,295,0.423,422,183,139,386,516,,,,,
Cleveland State,31,10,1093,-7.96,-1.52,2300,2437,1250,799,1834,303,820,0.37,399,585,0.682,303,0.436,460,174,97,412,551,,,,,
Oregon State,31,18,1091,7.84,4.29,2275,2165,1250,800,1728,203,633,0.321,472,636,0.742,310,0.463,465,185,164,384,536,,,,,
Boston University,33,15,1091,-6.61,-5.39,2385,2387,1325,922,1922,221,639,0.346,320,468,0.684,311,0.48,447,199,73,425,578,,,,,
Illinois,33,12,1091,8.95,11.53,2398,2483,1335,862,2001,259,751,0.345,415,591,0.702,351,0.431,446,245,86,435,700,,,,,
Northwestern,32,13,1086,9.97,9.16,2108,2082,1290,735,1827,233,744,0.313,405,551,0.735,278,0.402,451,176,134,349,583,,,,,
Pepperdine,34,16,1085,0.9,0.63,2572,2529,1370,865,1949,313,819,0.382,529,696,0.76,290,0.444,479,229,95,432,639,,,,,
Delaware,33,17,1083,-7.91,-4.82,2352,2380,1360,830,1808,282,746,0.378,410,564,0.727,254,0.459,425,149,78,378,523,,,,,
Montana State,32,15,1083,-7.91,-5.81,2502,2552,1280,858,1882,306,818,0.374,480,651,0.737,292,0.456,491,169,46,394,567,,,,,
Fordham,32,12,1082,-5.02,-2.4,2108,2141,1295,759,1890,276,831,0.332,314,462,0.68,305,0.402,360,188,108,345,559,,,,,
Elon,32,11,1082,-11.53,-3.56,2266,2445,1290,812,1862,335,943,0.355,307,443,0.693,265,0.436,468,135,62,413,539,,,,,
Southern Illinois,32,17,1081,1.39,-0.17,2194,2144,1280,802,1720,213,570,0.374,377,550,0.685,289,0.466,438,212,129,447,474,,,,,
Albany (NY),32,12,1081,-9.38,-6.7,2150,2216,1300,728,1750,274,790,0.347,420,564,0.745,294,0.416,402,195,78,454,566,,,,,
Southeast Missouri State,31,10,1081,-11.32,-4.39,2216,2378,1265,796,1809,266,719,0.37,358,519,0.69,284,0.44,402,182,75,447,615,,,,,
Colorado State,32,12,1080,-0.11,1.41,2393,2406,1285,866,1818,259,722,0.359,402,579,0.694,256,0.476,472,199,76,372,522,,,,,
SIU Edwardsville,31,10,1079,-14.47,-5.06,2265,2520,1280,794,1898,201,665,0.302,476,677,0.703,351,0.418,382,198,70,438,612,,,,,
Alcorn State,31,10,1079,-22.08,-8.97,1995,2194,1245,709,1721,211,646,0.327,366,543,0.674,334,0.412,391,229,107,492,548,,,,,
Morgan State,30,9,1078,-15.98,-10.7,2161,2304,1210,758,1920,168,521,0.322,477,669,0.713,397,0.395,362,230,48,401,614,,,,,
Air Force,32,14,1077,-4.28,0.24,2179,2294,1300,802,1776,234,711,0.329,341,503,0.678,253,0.452,434,154,57,423,543,,,,,
Washington State,32,11,1076,-1.67,2.2,2393,2517,1280,833,1861,301,828,0.364,426,564,0.755,276,0.448,478,169,89,440,554,,,,,
Northeastern NCAA,34,23,1075,3.95,-0.7,2564,2406,1385,880,1848,328,858,0.382,476,634,0.751,237,0.476,480,211,74,381,539,,,,,
Georgia Tech,32,14,1074,6.93,8.15,2091,2130,1285,755,1714,176,573,0.307,405,588,0.689,262,0.44,433,221,166,459,560,,,,,
Texas-El Paso,29,8,1070,-8.23,-1.71,1859,2001,1170,639,1592,199,620,0.321,382,578,0.661,285,0.401,307,135,84,466,551,,,,,
Florida Gulf Coast,32,14,1064,-5.11,-1.48,2280,2360,1280,809,1787,269,724,0.372,393,588,0.668,272,0.453,449,219,133,479,514,,,,,
Oakland,33,16,1063,-2.27,-1.48,2534,2515,1325,864,1859,314,816,0.385,492,663,0.742,275,0.465,580,191,99,426,534,,,,,
Arkansas-Pine Bluff,32,13,1063,-14.43,-8.18,2108,2269,1300,719,1685,194,574,0.338,476,702,0.678,317,0.427,365,216,109,478,629,,,,,
Tennessee-Martin,31,12,1062,-10.94,-4.32,2356,2486,1250,854,1915,250,726,0.344,398,528,0.754,351,0.446,441,223,88,418,490,,,,,
Miami (FL),32,14,1061,9.39,8.7,2297,2275,1285,805,1851,268,805,0.333,419,570,0.735,291,0.435,413,212,100,372,465,,,,,
East Carolina,31,10,1061,-5.49,1.31,2088,2299,1255,749,1791,155,545,0.284,435,638,0.682,317,0.418,382,224,110,416,622,,,,,
Idaho,32,5,1061,-18.74,-6.19,2174,2460,1285,778,1764,251,678,0.37,367,507,0.724,258,0.441,399,130,53,433,582,,,,,
College of Charleston,33,24,1060,2.36,-2.95,2453,2265,1330,878,1818,227,667,0.34,470,615,0.764,260,0.483,387,216,76,347,486,,,,,
Little Rock,31,10,1060,-4.87,-2.07,2301,2353,1250,817,1687,206,582,0.354,461,703,0.656,244,0.484,443,169,87,503,622,,,,,
Binghamton,33,10,1060,-13.92,-4.69,2152,2376,1320,793,1842,275,788,0.349,291,452,0.644,244,0.431,324,183,152,409,474,,,,,
La Salle,31,10,1060,-3.61,1.29,2091,2243,1240,719,1798,259,783,0.331,394,512,0.77,328,0.4,391,230,98,435,630,,,,,
North Carolina A&T,32,19,1059,-11.24,-9.88,2241,2209,1290,825,1797,227,649,0.35,364,548,0.664,291,0.459,452,215,108,417,514,,,,,
Butler,33,16,1058,9.22,8.1,2374,2337,1330,861,1934,292,827,0.353,360,488,0.738,288,0.445,434,193,62,359,593,,,,,
William & Mary,31,14,1057,-4.78,-2.08,2321,2385,1265,841,1773,254,735,0.346,385,576,0.668,251,0.474,529,158,146,390,516,,,,,
Mercer,31,11,1057,-2.86,-0.24,2248,2246,1245,787,1746,228,663,0.344,446,648,0.688,307,0.451,393,207,80,407,557,,,,,
Northern Arizona,31,10,1055,-10.75,-6.23,2262,2402,1250,785,1819,259,749,0.346,433,614,0.705,290,0.432,381,196,65,372,537,,,,,
Hawaii,31,18,1054,-1.3,-3.61,2241,2131,1250,788,1746,266,751,0.354,399,576,0.693,278,0.451,478,156,66,368,556,,,,,
McNeese State,31,9,1054,-14.41,-6.15,2149,2303,1245,760,1676,168,548,0.307,461,647,0.713,310,0.453,429,147,97,450,467,,,,,
UC-Riverside,33,10,1051,-11.12,-3.19,2153,2279,1325,792,1787,279,743,0.376,290,424,0.684,286,0.443,425,164,60,425,562,,,,,
South Carolina Upstate,32,6,1051,-15.3,-4.27,2169,2395,1290,775,1872,269,817,0.329,350,492,0.711,305,0.414,434,207,94,440,621,,,,,
Campbell,33,20,1050,-3.62,-4.39,2495,2328,1325,867,1906,313,912,0.343,448,590,0.759,266,0.455,482,218,104,337,522,,,,,
Hartford,33,18,1050,-3.95,-4.89,2477,2407,1345,848,1862,322,846,0.381,459,619,0.742,278,0.455,462,228,69,401,556,,,,,
Sacramento State,31,15,1050,-8.78,-6.78,2197,2155,1250,806,1800,175,527,0.332,410,592,0.693,308,0.448,431,239,104,404,566,,,,,
Omaha,32,21,1047,-2.32,-3.39,2523,2454,1290,950,1998,282,719,0.392,341,473,0.721,273,0.475,409,180,61,304,486,,,,,
Nicholls State,31,14,1041,-11.87,-6.98,2260,2302,1250,807,1914,324,883,0.367,322,418,0.77,280,0.422,428,208,128,386,587,,,,,
Denver,30,8,1041,-11.84,-2.97,2086,2319,1205,755,1723,227,622,0.365,349,460,0.759,275,0.438,354,142,78,408,506,,,,,
Pacific,32,14,1039,-2.46,1.97,2138,2241,1290,710,1681,198,566,0.35,520,698,0.745,285,0.422,325,199,46,423,630,,,,,
Mount St. Mary's,31,9,1036,-14.57,-6.02,2092,2286,1240,733,1755,223,723,0.308,403,594,0.678,293,0.418,354,146,107,410,576,,,,,
Saint Peter's,32,10,1032,-12.15,-6.4,2012,2196,1305,707,1639,184,567,0.325,414,570,0.726,293,0.431,301,172,177,488,614,,,,,
Tennessee State,30,9,1032,-11.62,-3.15,2182,2332,1210,751,1739,240,716,0.335,440,628,0.701,317,0.432,342,219,78,497,735,,,,,
Portland,32,7,1032,-10.8,0.51,2078,2389,1290,707,1708,216,664,0.325,448,668,0.671,233,0.414,369,175,123,425,588,,,,,
Alabama A&M,32,5,1032,-19.23,-8.38,1938,2285,1295,736,1809,182,578,0.315,284,453,0.627,314,0.407,385,234,50,487,587,,,,,
Santa Clara,31,16,1026,-1.91,0.92,2115,2172,1255,735,1653,239,663,0.36,406,567,0.716,242,0.445,416,146,111,433,597,,,,,
Canisius,32,15,1026,-8.79,-4.85,2250,2376,1295,798,1834,256,791,0.324,398,575,0.692,300,0.435,466,204,108,412,627,,,,,
Manhattan,32,11,1026,-12.89,-7.32,1833,2011,1285,651,1608,219,661,0.331,312,534,0.584,326,0.405,360,221,78,487,672,,,,,
Troy,30,12,1021,-6.12,-1.01,2179,2242,1210,773,1719,236,704,0.335,397,550,0.722,277,0.45,392,171,135,408,523,,,,,
Dartmouth,30,11,1020,-5.75,-3,2160,2116,1210,791,1750,264,721,0.366,314,436,0.72,246,0.452,426,158,100,361,468,,,,,
Detroit Mercy,31,11,1019,-6.33,-0.36,2279,2464,1240,784,1874,294,825,0.356,417,581,0.718,336,0.418,319,238,77,355,528,,,,,
Princeton,28,16,1016,-3.43,-0.89,1948,1951,1135,685,1666,207,679,0.305,371,502,0.739,272,0.411,295,168,72,354,459,,,,,
Boise State,33,13,1016,3.61,1.08,2364,2263,1330,845,1801,252,715,0.352,422,584,0.723,242,0.469,398,200,68,379,570,,,,,
Cornell,31,15,1015,-6.12,-2.02,2149,2211,1260,754,1705,243,731,0.332,398,551,0.722,191,0.442,453,181,107,414,492,,,,,
Maine,32,5,1015,-15.11,-4.21,1988,2271,1310,747,1728,201,647,0.311,293,452,0.648,280,0.432,471,239,94,460,566,,,,,
American,30,15,1014,-4.19,-7.23,2161,2070,1220,780,1645,190,584,0.325,411,589,0.698,251,0.474,402,221,131,386,520,,,,,
Loyola (IL),34,20,1013,3.99,-0.16,2231,2066,1360,831,1687,206,563,0.366,363,545,0.666,190,0.493,468,220,78,407,471,,,,,
North Dakota,30,12,1009,-8.78,-3.55,2220,2196,1200,822,1771,241,647,0.372,335,482,0.695,233,0.464,398,171,87,380,485,,,,,
Stephen F. Austin,30,14,1008,-10.99,-5.92,2105,2161,1210,745,1696,201,588,0.342,414,607,0.682,313,0.439,348,192,113,442,579,,,,,
Indiana State,31,15,1007,-2.72,0.62,2146,2218,1250,757,1719,178,491,0.363,454,621,0.731,250,0.44,342,207,73,402,586,,,,,
Lafayette,30,10,1004,-11.17,-4.93,2209,2349,1220,802,1786,280,736,0.38,325,437,0.744,233,0.449,419,158,126,402,515,,,,,
Missouri State,32,16,1000,-1.2,-1.03,2206,2157,1285,774,1714,224,649,0.345,434,627,0.692,270,0.452,354,221,127,385,540,,,,,
Loyola (MD),32,11,997,-9.13,-4.6,2332,2477,1295,842,1836,210,616,0.341,438,617,0.71,292,0.459,448,278,73,444,573,,,,,
Chicago State,32,3,995,-24.83,0.67,1970,2710,1280,718,1752,141,471,0.299,393,581,0.676,252,0.41,376,193,72,512,625,,,,,
Florida A&M,31,12,991,-13.57,-8.09,1927,2057,1245,719,1640,180,489,0.368,309,503,0.614,288,0.438,355,226,111,499,580,,,,,
Maryland-Eastern Shore,32,7,989,-24.21,-7.91,1833,2291,1285,666,1705,172,610,0.282,329,489,0.673,264,0.391,361,186,70,431,575,,,,,
New Hampshire,29,5,986,-18.66,-6.03,1742,1990,1160,623,1656,261,787,0.332,235,385,0.61,260,0.376,325,116,53,356,533,,,,,
Columbia,28,10,985,-5.18,-2.14,2059,2052,1160,778,1720,237,655,0.362,266,377,0.706,255,0.452,443,218,78,366,539,,,,,
Wyoming,32,8,983,-9.75,0.19,2105,2411,1285,690,1656,248,720,0.344,477,660,0.723,167,0.417,331,176,88,450,588,,,,,
Southern,32,7,980,-16.79,-7.37,2077,2360,1285,752,1710,180,544,0.331,393,588,0.668,313,0.44,372,216,86,511,716,,,,,
Idaho State,30,11,975,-13.17,-4.81,2198,2369,1200,779,1742,274,752,0.364,366,498,0.735,275,0.447,383,154,88,360,497,,,,,
Cal Poly,29,6,975,-13.95,-3.54,1930,2183,1185,706,1715,225,687,0.328,293,452,0.648,284,0.412,301,147,99,334,544,,,,,
Siena,33,17,973,-7.9,-6.47,2131,2178,1345,772,1779,288,849,0.339,299,440,0.68,248,0.434,415,190,93,321,462,,,,,
Bryant,30,10,969,-15.19,-7.66,2088,2314,1200,709,1680,230,708,0.325,440,618,0.712,285,0.422,319,158,79,383,575,,,,,
Fairfield,31,9,968,-10.2,-7.14,2072,2167,1240,761,1755,259,740,0.35,291,420,0.693,273,0.434,401,202,63,436,612,,,,,
Marist,31,12,967,-9.49,-7.53,2086,2147,1250,739,1647,245,675,0.363,363,530,0.685,241,0.449,377,172,53,387,583,,,,,
Missouri-Kansas City,32,11,966,-6.61,-1.55,2220,2341,1290,774,1794,259,728,0.356,413,590,0.7,261,0.431,351,233,90,391,647,,,,,
Richmond,33,13,957,-1.37,-0.79,2314,2333,1320,849,1800,251,723,0.347,365,552,0.661,196,0.472,519,249,101,336,488,,,,,
South Dakota,30,13,942,-5.52,-3.06,2118,2136,1205,729,1664,227,666,0.341,433,585,0.74,219,0.438,382,165,68,324,527,,,,,
North Carolina-Asheville,31,4,931,-19.81,-2.35,1857,2313,1245,655,1627,223,687,0.325,324,437,0.741,298,0.403,331,196,86,456,533,,,,,
UC-Davis,31,11,929,-6.26,-1.5,2038,2128,1260,735,1673,203,619,0.328,365,515,0.709,218,0.439,375,196,71,412,596,,,,,
Holy Cross,33,16,916,-6.43,-4.01,2216,2296,1335,848,1834,237,670,0.354,283,424,0.667,220,0.462,513,241,127,350,482,,,,,
University of California,31,8,900,-3.16,5.42,2121,2387,1245,739,1735,207,592,0.35,436,603,0.723,249,0.426,338,227,99,352,574,,,,,
Charlotte,29,8,892,-8.34,-0.89,1776,1992,1160,598,1442,191,615,0.311,389,524,0.742,199,0.415,288,138,101,418,490,,,,,
Incarnate Word,31,6,845,-18.93,-5.11,2044,2355,1255,711,1527,174,508,0.343,448,553,0.81,204,0.466,354,184,53,504,592,,,,,
