School,G,W,TRB,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,FG%,AST,STL,BLK,TOV,PF,,,,,
Central Michigan,35,23,1321,2.79,-0.34,2896,2690,1425,991,2177,305,822,0.371,609,908,0.671,419,0.455,467,267,107,425,593,,Median,1163,,
Norfolk State,36,22,1318,-8.04,-8.74,2652,2503,1460,900,2079,282,770,0.366,570,803,0.71,366,0.433,457,219,154,523,763,,Mode,1215,,
Minnesota NCAA,36,22,1314,12.52,11.27,2543,2498,1445,887,2039,191,603,0.317,578,848,0.682,402,0.435,523,175,140,418,578,,Standard Deviation,121.8846069,,
Jacksonville State,33,24,1310,1.59,-5.47,2574,2283,1345,953,2063,200,634,0.315,468,630,0.743,400,0.462,451,245,138,440,553,,Sample Variance,14855.85741,,
Michigan NCAA,37,30,1307,21.82,10.55,2575,2158,1480,941,2102,287,839,0.342,406,579,0.701,299,0.448,512,225,149,334,514,,Kurtosis,0.621022385,,
Oregon NCAA,38,25,1307,13.95,6.13,2661,2364,1530,958,2126,295,840,0.351,450,624,0.721,361,0.451,501,290,162,442,665,,Skewness,0.508451486,,
Georgetown,33,19,1299,6.8,5.31,2625,2576,1355,894,2017,269,757,0.355,568,771,0.737,350,0.443,542,198,131,443,581,,Range,744,,
Northern Kentucky NCAA,35,26,1298,4.67,-2.39,2747,2410,1410,979,2047,306,844,0.363,483,725,0.666,364,0.478,592,218,139,441,664,,Minimum,845,,
Texas Tech NCAA,38,31,1297,22.79,9.53,2765,2261,1530,990,2110,277,759,0.365,508,694,0.732,315,0.469,518,278,186,457,663,,Maximum,1589,,
Louisville NCAA,34,20,1297,17.28,11.04,2536,2324,1380,854,1967,294,860,0.342,534,687,0.777,345,0.434,458,149,99,412,591,,Sum,412846,,
Florida Atlantic,33,17,1296,-1.42,-1.76,2322,2243,1335,809,1971,290,895,0.324,414,551,0.751,366,0.41,419,184,93,485,575,,Count,353,,
Marquette NCAA,34,24,1292,14.78,6.96,2629,2363,1375,893,1969,319,822,0.388,524,692,0.757,331,0.454,456,168,145,467,635,,,,,
Texas State,34,24,1291,1.54,-3,2470,2204,1370,876,1971,244,744,0.328,474,694,0.683,409,0.444,493,234,84,455,667,,,,,
Grambling,34,17,1287,-9.73,-9.34,2426,2336,1370,834,1846,223,553,0.403,535,781,0.685,307,0.452,420,193,147,536,699,,,,,
Alabama,34,18,1285,9.45,9.01,2448,2433,1365,856,1945,244,718,0.34,492,739,0.666,384,0.44,418,157,160,465,572,,,,,
Lamar,33,20,1282,-5.94,-7.22,2597,2322,1340,902,1976,228,664,0.343,565,823,0.687,446,0.456,481,283,97,473,622,,,,,
Portland State,32,16,1282,-8.95,-5.78,2475,2404,1290,856,2017,238,769,0.309,525,748,0.702,491,0.424,434,264,130,449,681,,,,,
