School,G,W,FG%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,,,,
Utah Valley,35,25,0.482,3,-2.3,2697,2474,1400,930,1929,283,740,0.382,554,764,0.725,318,1271,484,201,89,487,612,,,W,1,
Lehigh,31,20,0.482,-2.34,-4.46,2479,2413,1250,856,1775,287,679,0.423,480,620,0.774,232,1105,471,171,71,418,571,,,FG%,0.522203467,1
Purdue-Fort Wayne,33,18,0.481,-3.47,-3.6,2728,2556,1330,991,2059,360,949,0.379,386,557,0.693,271,1140,525,247,158,395,495,,,,,
Michigan State NCAA,39,32,0.48,24.93,12.34,3025,2534,1570,1071,2230,319,844,0.378,564,749,0.753,414,1579,715,201,205,493,647,,,,,
Lipscomb,37,29,0.48,9.21,-1.2,3076,2597,1480,1071,2230,327,876,0.373,607,801,0.758,329,1378,654,268,108,489,633,,Correlation between Wins and FG % for teams with > .45 FG%,,,
Boston University,33,15,0.48,-6.61,-5.39,2385,2387,1325,922,1922,221,639,0.346,320,468,0.684,311,1091,447,199,73,425,578,,,,W,FG%
Colgate NCAA,35,24,0.479,1.23,-3.83,2648,2458,1415,955,1995,320,815,0.393,418,563,0.742,322,1240,541,213,121,456,547,,,W,1,
Creighton,35,20,0.479,12,8.59,2727,2561,1420,980,2044,372,961,0.387,395,582,0.679,288,1196,561,237,92,464,580,,,FG%,0.361992095,1
Duke NCAA,38,32,0.478,26.9,11.98,3143,2576,1525,1157,2418,278,903,0.308,551,803,0.686,495,1567,606,346,257,488,595,,,,,
Northern Kentucky NCAA,35,26,0.478,4.67,-2.39,2747,2410,1410,979,2047,306,844,0.363,483,725,0.666,364,1298,592,218,139,441,664,,,,,
Kentucky NCAA,37,30,0.477,21.43,10.29,2806,2394,1490,978,2050,215,607,0.354,635,859,0.739,427,1428,501,220,176,466,600,,Correlation between Wins and FG % for teams with < .45 FG%,,,
Iowa State NCAA,35,23,0.476,18.07,9.3,2692,2385,1400,974,2047,294,811,0.363,450,615,0.732,327,1230,527,247,160,379,517,,,,W,FG%
Northeastern NCAA,34,23,0.476,3.95,-0.7,2564,2406,1385,880,1848,328,858,0.382,476,634,0.751,237,1075,480,211,74,381,539,,,W,1,
Weber State,33,18,0.476,-4.37,-6.12,2617,2454,1330,920,1934,249,684,0.364,528,708,0.746,220,1177,383,179,140,382,609,,,FG%,0.474107228,1
Colorado State,32,12,0.476,-0.11,1.41,2393,2406,1285,866,1818,259,722,0.359,402,579,0.694,256,1080,472,199,76,372,522,,,,,
Fairleigh Dickinson NCAA,35,21,0.475,-6.09,-7.24,2620,2515,1420,921,1939,269,672,0.4,509,702,0.725,323,1155,486,261,132,477,578,,"Results: Stronger correlation between wins and FG % below 45%, stronger correlation between FG% and wins under 26. Hypothesis is true since positive correlation, but results show strongest relationship on FG% and teams under 26 wins. ",,,
Omaha,32,21,0.475,-2.32,-3.39,2523,2454,1290,950,1998,282,719,0.392,341,473,0.721,273,1047,409,180,61,304,486,,,,,
Virginia NCAA,38,35,0.474,25.46,10.15,2714,2132,1535,974,2056,321,813,0.395,445,598,0.744,342,1326,544,211,149,342,542,,FG%,,,
Furman,33,25,0.474,7.46,-1.5,2562,2182,1340,930,1962,338,935,0.361,364,508,0.717,326,1171,524,288,137,407,481,,,,,
American,30,15,0.474,-4.19,-7.23,2161,2070,1220,780,1645,190,584,0.325,411,589,0.698,251,1014,402,221,131,386,520,,Mean,0.442997167,,
William & Mary,31,14,0.474,-4.78,-2.08,2321,2385,1265,841,1773,254,735,0.346,385,576,0.668,251,1057,529,158,146,390,516,,Standard Error,0.001299116,,
Mississippi State NCAA,34,23,0.472,15.96,9.07,2628,2394,1370,936,1982,292,774,0.377,464,647,0.717,393,1215,481,274,172,451,586,,Median,0.443,,
Austin Peay,33,22,0.472,0.59,-4.41,2712,2413,1335,973,2060,268,702,0.382,498,705,0.706,397,1215,454,252,110,392,596,,Mode,0.454,,
Saint Mary's (CA) NCAA,34,22,0.472,12.58,4.4,2463,2185,1365,899,1905,253,670,0.378,412,555,0.742,329,1180,341,201,87,355,572,,Standard Deviation,0.024408165,,
Samford,33,17,0.472,0.69,-2.03,2583,2487,1355,921,1951,254,687,0.37,487,666,0.731,316,1225,461,238,127,463,560,,Sample Variance,0.000595759,,
Massachusetts-Lowell,32,15,0.472,-8.28,-6.95,2456,2420,1290,875,1852,246,721,0.341,460,639,0.72,293,1115,500,181,85,447,589,,Kurtosis,0.446701079,,
Richmond,33,13,0.472,-1.37,-0.79,2314,2333,1320,849,1800,251,723,0.347,365,552,0.661,196,957,519,249,101,336,488,,Skewness,-0.091019371,,
