School,G,W,FG%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,,,,
Bowling Green State,34,22,0.443,4.24,0.86,2668,2496,1370,945,2134,272,762,0.357,506,755,0.67,408,1396,427,227,90,412,596,,,,,
Brown,32,20,0.443,-0.62,-3.29,2355,2204,1290,805,1818,255,745,0.342,490,685,0.715,261,1157,418,241,123,458,600,,,,,
Georgetown,33,19,0.443,6.8,5.31,2625,2576,1355,894,2017,269,757,0.355,568,771,0.737,350,1299,542,198,131,443,581,,,,,
Chattanooga,32,12,0.443,-7.87,-0.76,2268,2376,1285,833,1881,290,795,0.365,312,457,0.683,278,1095,418,139,79,409,553,,,,,
UC-Riverside,33,10,0.443,-11.12,-3.19,2153,2279,1325,792,1787,279,743,0.376,290,424,0.684,286,1051,425,164,60,425,562,,,,,
North Carolina-Wilmington,33,10,0.443,-8.1,-2.04,2515,2670,1335,880,1986,260,744,0.349,493,673,0.733,387,1221,495,150,68,436,585,,,,,
Florida State NCAA,37,29,0.442,17.99,10.26,2771,2485,1500,960,2171,272,819,0.332,579,778,0.744,418,1391,475,266,161,492,705,,,,,
Marshall,37,23,0.442,-0.64,-0.61,2978,2979,1495,1047,2367,362,1058,0.342,522,723,0.722,319,1260,527,334,170,453,664,,,,,
Sam Houston State,33,21,0.442,-3.17,-5.84,2476,2307,1345,889,2011,308,840,0.367,390,518,0.753,369,1191,555,242,94,413,659,,,,,
Baylor NCAA,34,20,0.442,13.38,9.26,2442,2302,1365,869,1966,274,803,0.341,430,635,0.677,450,1281,473,209,159,446,636,,,,,
Cornell,31,15,0.442,-6.12,-2.02,2149,2211,1260,754,1705,243,731,0.332,398,551,0.722,191,1015,453,181,107,414,492,,,,,
Southern Methodist,32,15,0.442,5.81,4.12,2303,2249,1280,833,1884,263,772,0.341,374,523,0.715,365,1135,441,189,123,350,515,,,,,
James Madison,33,14,0.442,-8.52,-4.07,2322,2409,1350,821,1859,243,670,0.363,437,607,0.72,345,1123,403,211,101,420,612,,,,,
Southeastern Louisiana,33,17,0.441,-7.59,-6.3,2224,2228,1320,765,1735,235,696,0.338,459,640,0.717,346,1117,452,215,80,536,602,,,,,
Southern Utah,34,17,0.441,-8.91,-6.22,2573,2566,1380,881,1997,272,799,0.34,539,757,0.712,282,1250,426,199,114,466,696,,,,,
Georgia,32,11,0.441,5.31,8.12,2274,2364,1280,776,1761,210,653,0.322,512,726,0.705,357,1215,423,185,163,506,565,,,,,
Massachusetts,32,11,0.441,-3.02,-0.18,2263,2354,1290,808,1831,256,732,0.35,391,574,0.681,342,1123,468,154,93,445,643,,,,,
Idaho,32,5,0.441,-18.74,-6.19,2174,2460,1285,778,1764,251,678,0.37,367,507,0.724,258,1061,399,130,53,433,582,,,,,
Florida International,34,20,0.44,-4.55,-1.45,2798,2734,1360,986,2239,279,923,0.302,547,855,0.64,367,1217,491,359,153,477,655,,,,,
Alabama,34,18,0.44,9.45,9.01,2448,2433,1365,856,1945,244,718,0.34,492,739,0.666,384,1285,418,157,160,465,572,,,,,
Indiana State,31,15,0.44,-2.72,0.62,2146,2218,1250,757,1719,178,491,0.363,454,621,0.731,250,1007,342,207,73,402,586,,,,,
Georgia Tech,32,14,0.44,6.93,8.15,2091,2130,1285,755,1714,176,573,0.307,405,588,0.689,262,1074,433,221,166,459,560,,,,,
Southeast Missouri State,31,10,0.44,-11.32,-4.39,2216,2378,1265,796,1809,266,719,0.37,358,519,0.69,284,1081,402,182,75,447,615,,,,,
Western Illinois,31,10,0.44,-10.04,-5.18,2198,2272,1245,818,1860,241,626,0.385,321,440,0.73,254,1100,319,165,132,353,487,,,,,
Southern,32,7,0.44,-16.79,-7.37,2077,2360,1285,752,1710,180,544,0.331,393,588,0.668,313,980,372,216,86,511,716,,,,,
Seton Hall NCAA,34,20,0.439,10.25,8.34,2508,2443,1375,888,2021,240,741,0.324,492,697,0.706,361,1213,459,235,132,423,638,,,,,
Bethune-Cookman,31,14,0.439,-11.98,-9.74,2290,2245,1250,833,1899,204,635,0.321,420,689,0.61,415,1274,444,234,108,501,610,,,,,
Stephen F. Austin,30,14,0.439,-10.99,-5.92,2105,2161,1210,745,1696,201,588,0.342,414,607,0.682,313,1008,348,192,113,442,579,,,,,
UC-Davis,31,11,0.439,-6.26,-1.5,2038,2128,1260,735,1673,203,619,0.328,365,515,0.709,218,929,375,196,71,412,596,,,,,
Villanova NCAA,36,26,0.438,14.33,7.97,2654,2425,1455,884,2019,380,1081,0.352,506,695,0.728,368,1253,503,194,106,388,580,,,,,
Virginia Commonwealth NCAA,33,25,0.438,11.96,2.87,2344,2044,1330,820,1872,235,771,0.305,469,669,0.701,358,1208,450,263,148,458,650,,,,,
Prairie View NCAA,35,22,0.438,-7.29,-9.17,2627,2547,1400,903,2061,225,703,0.32,596,875,0.681,392,1151,445,309,55,445,758,,,,,
Seattle,33,18,0.438,-1.47,-3.85,2420,2283,1330,852,1945,238,642,0.371,478,668,0.716,336,1221,386,141,118,403,657,,,,,
Texas A&M,32,14,0.438,7.21,8.59,2253,2297,1280,806,1842,204,663,0.308,437,631,0.693,372,1195,376,215,142,444,521,,,,,
South Dakota,30,13,0.438,-5.52,-3.06,2118,2136,1205,729,1664,227,666,0.341,433,585,0.74,219,942,382,165,68,324,527,,,,,
Florida A&M,31,12,0.438,-13.57,-8.09,1927,2057,1245,719,1640,180,489,0.368,309,503,0.614,288,991,355,226,111,499,580,,,,,
Denver,30,8,0.438,-11.84,-2.97,2086,2319,1205,755,1723,227,622,0.365,349,460,0.759,275,1041,354,142,78,408,506,,,,,
Temple NCAA,33,23,0.437,8.17,4.93,2465,2358,1340,873,1998,247,748,0.33,472,649,0.727,316,1136,476,284,73,368,581,,,,,
Long Island University,32,16,0.437,-8.99,-9.08,2373,2337,1285,822,1880,277,813,0.341,452,643,0.703,321,1196,430,218,157,471,610,,,,,
Ohio,31,14,0.437,-1.84,3.16,2174,2288,1255,803,1838,187,633,0.295,381,602,0.633,332,1152,451,200,115,448,504,,,,,
San Diego State,34,21,0.436,5.29,2.47,2437,2291,1360,845,1940,261,721,0.362,486,679,0.716,346,1228,487,197,113,424,638,,,,,
Wright State,35,21,0.436,3.29,-0.89,2561,2365,1405,885,2028,281,818,0.344,510,692,0.737,382,1229,484,214,72,402,545,,,,,
Louisiana Tech,33,20,0.436,0.95,-2.31,2386,2235,1335,840,1928,253,756,0.335,453,690,0.657,368,1204,440,190,115,386,535,,,,,
Elon,32,11,0.436,-11.53,-3.56,2266,2445,1290,812,1862,335,943,0.355,307,443,0.693,265,1082,468,135,62,413,539,,,,,
Cleveland State,31,10,0.436,-7.96,-1.52,2300,2437,1250,799,1834,303,820,0.37,399,585,0.682,303,1093,460,174,97,412,551,,,,,
Minnesota NCAA,36,22,0.435,12.52,11.27,2543,2498,1445,887,2039,191,603,0.317,578,848,0.682,402,1314,523,175,140,418,578,,,,,
North Texas,33,21,0.435,-0.25,-3.48,2302,2077,1325,831,1910,284,838,0.339,356,532,0.669,368,1244,428,210,88,443,589,,,,,
Saint Francis (PA),33,18,0.435,-8.74,-6.16,2517,2510,1320,885,2035,254,724,0.351,493,698,0.706,430,1246,413,221,94,402,598,,,,,
Canisius,32,15,0.435,-8.79,-4.85,2250,2376,1295,798,1834,256,791,0.324,398,575,0.692,300,1026,466,204,108,412,627,,,,,
Miami (FL),32,14,0.435,9.39,8.7,2297,2275,1285,805,1851,268,805,0.333,419,570,0.735,291,1061,413,212,100,372,465,,,,,
Towson,32,10,0.435,-8.44,-3.57,2170,2294,1310,810,1860,180,550,0.327,370,532,0.695,389,1184,319,154,94,390,561,,,,,
Louisville NCAA,34,20,0.434,17.28,11.04,2536,2324,1380,854,1967,294,860,0.342,534,687,0.777,345,1297,458,149,99,412,591,,,,,
Ohio State NCAA,35,20,0.434,13.89,11,2419,2318,1405,839,1931,264,774,0.341,477,650,0.734,328,1215,494,206,85,438,623,,,,,
Siena,33,17,0.434,-7.9,-6.47,2131,2178,1345,772,1779,288,849,0.339,299,440,0.68,248,973,415,190,93,321,462,,,,,
Fairfield,31,9,0.434,-10.2,-7.14,2072,2167,1240,761,1755,259,740,0.35,291,420,0.693,273,968,401,202,63,436,612,,,,,
Norfolk State,36,22,0.433,-8.04,-8.74,2652,2503,1460,900,2079,282,770,0.366,570,803,0.71,366,1318,457,219,154,523,763,,,,,
Maryland-Baltimore County,34,21,0.433,-5.85,-5.85,2296,2177,1400,820,1893,261,807,0.323,395,573,0.689,296,1145,453,268,83,428,578,,,,,
Texas,37,21,0.433,16.06,11.46,2628,2458,1495,929,2146,325,934,0.348,445,637,0.699,358,1264,486,227,152,401,627,,,,,
Bradley NCAA,35,20,0.433,-0.08,-0.9,2329,2285,1405,812,1874,240,653,0.368,465,672,0.692,313,1195,423,186,132,440,617,,,,,
Howard,34,17,0.433,-12.3,-9.52,2684,2661,1370,937,2163,244,669,0.365,566,780,0.726,396,1253,463,198,144,427,652,,,,,
Texas-San Antonio,32,17,0.433,0.69,0.05,2481,2407,1295,896,2068,294,855,0.344,395,536,0.737,323,1216,420,213,82,402,581,,,,,
Cincinnati NCAA,35,28,0.432,14.53,5.5,2510,2194,1410,872,2018,232,673,0.345,534,758,0.704,442,1264,466,214,155,365,563,,,,,
Kent State,33,22,0.432,1.26,0.61,2481,2417,1330,878,2032,261,775,0.337,464,641,0.724,412,1185,430,226,119,378,601,,,,,
Hampton,35,18,0.432,-3.34,-5.06,2847,2669,1430,966,2236,291,844,0.345,622,790,0.787,363,1370,487,215,121,379,649,,,,,
Robert Morris,35,18,0.432,-9.41,-7.62,2448,2403,1420,861,1991,280,789,0.355,446,638,0.699,373,1178,487,257,92,507,683,,,,,
Cal State Long Beach,34,15,0.432,-4.57,-0.44,2545,2584,1375,877,2031,217,630,0.344,574,831,0.691,377,1263,399,219,105,479,620,,,,,
Eastern Illinois,32,14,0.432,-11.81,-5.01,2299,2457,1310,826,1912,272,735,0.37,375,545,0.688,347,1147,434,200,120,427,569,,,,,
Northern Arizona,31,10,0.432,-10.75,-6.23,2262,2402,1250,785,1819,259,749,0.346,433,614,0.705,290,1055,381,196,65,372,537,,,,,
Tennessee State,30,9,0.432,-11.62,-3.15,2182,2332,1210,751,1739,240,716,0.335,440,628,0.701,317,1032,342,219,78,497,735,,,,,
Maine,32,5,0.432,-15.11,-4.21,1988,2271,1310,747,1728,201,647,0.311,293,452,0.648,280,1015,471,239,94,460,566,,,,,
Illinois State,33,17,0.431,-2.06,0.25,2257,2314,1330,813,1887,244,734,0.332,387,540,0.717,298,1139,421,162,106,417,577,,,,,
Illinois,33,12,0.431,8.95,11.53,2398,2483,1335,862,2001,259,751,0.345,415,591,0.702,351,1091,446,245,86,435,700,,,,,
Missouri-Kansas City,32,11,0.431,-6.61,-1.55,2220,2341,1290,774,1794,259,728,0.356,413,590,0.7,261,966,351,233,90,391,647,,,,,
Binghamton,33,10,0.431,-13.92,-4.69,2152,2376,1320,793,1842,275,788,0.349,291,452,0.644,244,1060,324,183,152,409,474,,,,,
Saint Peter's,32,10,0.431,-12.15,-6.4,2012,2196,1305,707,1639,184,567,0.325,414,570,0.726,293,1032,301,172,177,488,614,,,,,
South Florida,38,24,0.43,5.96,1.69,2752,2553,1555,911,2120,272,819,0.332,658,1018,0.646,496,1483,521,306,124,604,790,,,,,
Missouri,32,15,0.43,8.6,9.16,2150,2168,1290,758,1764,264,727,0.363,370,526,0.703,345,1130,354,149,53,448,625,,,,,
Kansas State NCAA,34,25,0.429,15.39,9.18,2236,2025,1360,806,1878,241,721,0.334,383,574,0.667,325,1137,464,256,76,385,550,,,,,
Nebraska,36,19,0.429,14.85,11.31,2586,2421,1445,916,2133,270,800,0.338,484,694,0.697,379,1278,466,260,151,345,580,,,,,
Charleston Southern,34,18,0.429,-2.43,-4.19,2574,2369,1370,926,2156,324,945,0.343,398,588,0.677,407,1277,487,263,110,441,571,,,,,
Rhode Island,33,18,0.429,2.83,1.19,2293,2239,1335,821,1914,172,615,0.28,479,704,0.68,375,1194,401,235,129,405,582,,,,,
St. Bonaventure,34,18,0.429,3.34,0.25,2250,2145,1385,821,1914,208,635,0.328,400,539,0.742,333,1183,417,199,164,421,553,,,,,
Eastern Washington,34,16,0.429,-6.77,-4.17,2460,2527,1380,876,2040,310,886,0.35,398,546,0.729,299,1192,467,200,101,401,632,,,,,
Texas A&M-Corpus Christi,32,14,0.429,-9.11,-5.68,2126,2124,1290,774,1803,202,621,0.325,376,541,0.695,349,1158,423,197,90,456,610,,,,,
Morehead State,33,13,0.429,-7.73,-1.76,2431,2543,1335,855,1993,260,762,0.341,461,654,0.705,357,1177,440,186,137,402,561,,,,,
South Carolina State,34,8,0.429,-16.86,-8.3,2388,2593,1375,811,1891,193,582,0.332,573,772,0.742,376,1137,386,167,60,493,670,,,,,
Duquesne,32,19,0.428,0.53,-0.63,2351,2314,1295,810,1894,271,841,0.322,460,663,0.694,379,1133,442,250,151,451,580,,,,,
Longwood,34,16,0.428,-8.43,-6.62,2407,2408,1375,803,1875,333,939,0.355,468,639,0.732,284,1194,401,210,71,477,624,,,,,
Army,32,13,0.428,-7.57,-4.73,2268,2305,1280,837,1956,272,863,0.315,322,471,0.684,259,1125,499,198,50,376,544,,,,,
Arizona,32,17,0.427,8.32,6.32,2269,2205,1290,794,1861,235,699,0.336,446,620,0.719,324,1115,398,165,73,370,594,,,,,
Nevada-Las Vegas,31,17,0.427,1.58,0.48,2276,2242,1250,791,1852,251,745,0.337,443,647,0.685,408,1204,401,184,115,401,556,,,,,
Quinnipiac,31,16,0.427,-6.78,-8.03,2294,2255,1270,739,1730,348,923,0.377,468,646,0.724,311,1111,393,159,62,415,524,,,,,
Arkansas-Pine Bluff,32,13,0.427,-14.43,-8.18,2108,2269,1300,719,1685,194,574,0.338,476,702,0.678,317,1063,365,216,109,478,629,,,,,
Youngstown State,32,12,0.427,-7.78,-2.05,2415,2526,1305,879,2057,303,891,0.34,354,505,0.701,418,1207,449,210,115,423,656,,,,,
VMI,32,11,0.427,-10.5,0.09,2433,2617,1290,843,1974,323,899,0.359,424,581,0.73,280,1110,442,217,61,390,541,,,,,
Central Arkansas,33,14,0.426,-11.37,-4.81,2383,2498,1330,810,1903,276,784,0.352,487,667,0.73,299,1164,463,202,120,478,611,,,,,
Rice,32,13,0.426,-6.56,-2.06,2367,2481,1305,795,1867,277,797,0.348,500,729,0.686,316,1221,425,171,104,438,568,,,,,
University of California,31,8,0.426,-3.16,5.42,2121,2387,1245,739,1735,207,592,0.35,436,603,0.723,249,900,338,227,99,352,574,,,,,
Florida NCAA,36,20,0.425,15.42,11.22,2440,2289,1455,857,2015,291,872,0.334,435,603,0.721,375,1201,437,257,131,420,614,,,,,
Boston College,31,14,0.425,5.83,7.76,2196,2256,1260,768,1808,218,687,0.317,442,633,0.698,331,1139,382,159,103,378,509,,,,,
Western Michigan,32,8,0.425,-6.26,1.48,2246,2439,1300,774,1822,228,723,0.315,470,680,0.691,345,1197,374,147,78,490,564,,,,,
Syracuse NCAA,34,20,0.424,13.73,10.09,2370,2246,1365,808,1907,274,824,0.333,480,701,0.685,363,1174,408,278,162,423,588,,,,,
Cal State Bakersfield,34,18,0.424,-5.12,-2.63,2412,2412,1375,887,2092,221,683,0.324,417,620,0.673,486,1272,379,218,105,439,747,,,,,
Portland State,32,16,0.424,-8.95,-5.78,2475,2404,1290,856,2017,238,769,0.309,525,748,0.702,491,1282,434,264,130,449,681,,,,,
Eastern Kentucky,31,13,0.424,-7.4,-2.47,2562,2577,1265,902,2125,272,832,0.327,486,683,0.712,362,1167,458,317,101,447,661,,,,,
Providence,34,18,0.423,8.29,6.71,2428,2374,1385,835,1973,225,690,0.326,533,771,0.691,399,1241,491,253,136,445,600,,,,,
St. Francis (NY),33,17,0.423,-10.19,-8.45,2345,2320,1325,841,1989,270,806,0.335,393,580,0.678,346,1191,387,194,136,413,635,,,,,
South Carolina,32,16,0.423,8.34,9.63,2327,2316,1285,806,1907,242,662,0.366,473,694,0.682,383,1160,413,202,140,433,623,,,,,
Oklahoma State,32,12,0.423,8.09,11.53,2178,2288,1285,760,1796,280,753,0.372,378,549,0.689,295,1093,422,183,139,386,516,,,,,
New Mexico,32,14,0.422,-0.55,1.61,2443,2454,1280,814,1927,292,844,0.346,523,745,0.702,351,1199,446,220,107,455,627,,,,,
Nicholls State,31,14,0.422,-11.87,-6.98,2260,2302,1250,807,1914,324,883,0.367,322,418,0.77,280,1041,428,208,128,386,587,,,,,
Pacific,32,14,0.422,-2.46,1.97,2138,2241,1290,710,1681,198,566,0.35,520,698,0.745,285,1039,325,199,46,423,630,,,,,
Bryant,30,10,0.422,-15.19,-7.66,2088,2314,1200,709,1680,230,708,0.325,440,618,0.712,285,969,319,158,79,383,575,,,,,
Stony Brook,33,24,0.421,-2.1,-6.48,2364,2188,1335,815,1937,233,715,0.326,501,695,0.721,410,1348,372,209,142,478,631,,,,,
Miami (OH),32,15,0.421,0.77,2.31,2267,2233,1285,777,1847,269,832,0.323,444,626,0.709,353,1190,349,194,87,413,581,,,,,
Niagara,32,13,0.421,-11.33,-7.77,2318,2432,1285,795,1887,265,738,0.359,463,629,0.736,315,1143,343,128,127,390,511,,,,,
Evansville,32,11,0.421,-3.84,0.13,2234,2317,1295,747,1776,264,776,0.34,476,660,0.721,215,1095,394,185,89,416,602,,,,,
Vanderbilt,32,9,0.421,3.57,7.79,2180,2315,1285,736,1750,230,739,0.311,478,710,0.673,325,1139,371,154,126,454,568,,,,,
Milwaukee,31,9,0.42,-8.9,-2.5,2146,2315,1245,765,1820,237,692,0.342,379,508,0.746,288,1094,356,145,94,382,579,,,,,
Rutgers,31,14,0.419,8.89,9.76,2105,2132,1250,771,1842,191,612,0.312,372,584,0.637,391,1210,390,201,124,408,566,,,,,
Middle Tennessee,32,11,0.419,-6.09,1.44,2141,2313,1280,778,1858,212,650,0.326,373,551,0.677,382,1228,352,190,85,512,583,,,,,
Texas-Rio Grande Valley,37,20,0.418,-2.04,-1.61,2634,2623,1490,895,2139,203,636,0.319,641,923,0.694,358,1215,503,345,105,471,763,,,,,
Pittsburgh,33,14,0.418,7.88,6.69,2306,2267,1330,769,1841,225,680,0.331,543,779,0.697,383,1211,387,227,126,448,611,,,,,
Arkansas State,32,13,0.418,-7.1,-1.23,2359,2475,1310,796,1904,237,709,0.334,530,721,0.735,403,1211,363,183,139,448,684,,,,,
Detroit Mercy,31,11,0.418,-6.33,-0.36,2279,2464,1240,784,1874,294,825,0.356,417,581,0.718,336,1019,319,238,77,355,528,,,,,
East Carolina,31,10,0.418,-5.49,1.31,2088,2299,1255,749,1791,155,545,0.284,435,638,0.682,317,1061,382,224,110,416,622,,,,,
SIU Edwardsville,31,10,0.418,-14.47,-5.06,2265,2520,1280,794,1898,201,665,0.302,476,677,0.703,351,1079,382,198,70,438,612,,,,,
Mount St. Mary's,31,9,0.418,-14.57,-6.02,2092,2286,1240,733,1755,223,723,0.308,403,594,0.678,293,1036,354,146,107,410,576,,,,,
Saint Louis NCAA,36,23,0.417,5.06,2.23,2399,2297,1440,855,2052,205,675,0.304,484,809,0.598,492,1428,460,254,145,464,634,,,,,
Penn State,32,14,0.417,12.55,11.51,2229,2196,1295,791,1898,222,693,0.32,425,613,0.693,382,1174,389,245,122,399,597,,,,,
Wyoming,32,8,0.417,-9.75,0.19,2105,2411,1285,690,1656,248,720,0.344,477,660,0.723,167,983,331,176,88,450,588,,,,,
Northern Iowa,34,16,0.416,-1.54,0.62,2215,2230,1360,769,1847,276,792,0.348,401,537,0.747,262,1115,370,165,75,393,554,,,,,
Albany (NY),32,12,0.416,-9.38,-6.7,2150,2216,1300,728,1750,274,790,0.347,420,564,0.745,294,1081,402,195,78,454,566,,,,,
Tennessee Tech,31,8,0.416,-14.76,-3,2104,2350,1250,742,1784,213,620,0.344,407,645,0.631,330,1122,389,226,134,517,554,,,,,
Monmouth,35,14,0.415,-10.66,-4.83,2286,2490,1420,794,1915,168,565,0.297,530,773,0.686,360,1224,379,237,101,502,698,,,,,
Charlotte,29,8,0.415,-8.34,-0.89,1776,1992,1160,598,1442,191,615,0.311,389,524,0.742,199,892,288,138,101,418,490,,,,,
Central Connecticut State,31,11,0.414,-14.02,-6.71,2205,2367,1260,754,1821,201,612,0.328,496,634,0.782,332,1107,353,172,110,427,597,,,,,
Portland,32,7,0.414,-10.8,0.51,2078,2389,1290,707,1708,216,664,0.325,448,668,0.671,233,1032,369,175,123,425,588,,,,,
South Carolina Upstate,32,6,0.414,-15.3,-4.27,2169,2395,1290,775,1872,269,817,0.329,350,492,0.711,305,1051,434,207,94,440,621,,,,,
West Virginia,36,15,0.413,6.94,10.57,2655,2786,1460,901,2181,269,852,0.316,584,849,0.688,519,1425,488,223,126,557,707,,,,,
Alcorn State,31,10,0.412,-22.08,-8.97,1995,2194,1245,709,1721,211,646,0.327,366,543,0.674,334,1079,391,229,107,492,548,,,,,
Cal Poly,29,6,0.412,-13.95,-3.54,1930,2183,1185,706,1715,225,687,0.328,293,452,0.648,284,975,301,147,99,334,544,,,,,
Princeton,28,16,0.411,-3.43,-0.89,1948,1951,1135,685,1666,207,679,0.305,371,502,0.739,272,1016,295,168,72,354,459,,,,,
Tulane,31,4,0.411,-6.72,3.63,2082,2403,1240,733,1783,213,670,0.318,403,585,0.689,298,1131,444,147,109,467,535,,,,,
Florida Atlantic,33,17,0.41,-1.42,-1.76,2322,2243,1335,809,1971,290,895,0.324,414,551,0.751,366,1296,419,184,93,485,575,,,,,
Navy,31,12,0.41,-10.09,-4,2061,2250,1240,732,1785,208,656,0.317,389,544,0.715,359,1160,399,167,58,437,534,,,,,
Chicago State,32,3,0.41,-24.83,0.67,1970,2710,1280,718,1752,141,471,0.299,393,581,0.676,252,995,376,193,72,512,625,,,,,
Akron,33,17,0.409,4.86,1.09,2271,2107,1325,797,1948,297,929,0.32,380,539,0.705,312,1204,399,185,106,388,569,,,,,
Texas-Arlington,33,17,0.409,-0.5,0.84,2284,2303,1345,781,1908,234,773,0.303,488,659,0.741,372,1235,421,211,97,467,630,,,,,
Wichita State,37,22,0.408,7.72,5.91,2609,2542,1485,929,2277,276,890,0.31,475,655,0.725,452,1417,499,174,135,446,705,,,,,
Saint Joseph's,33,14,0.408,-0.43,1.66,2328,2397,1325,793,1943,280,869,0.322,462,615,0.751,258,1145,397,186,110,305,497,,,,,
Alabama A&M,32,5,0.407,-19.23,-8.38,1938,2285,1295,736,1809,182,578,0.315,284,453,0.627,314,1032,385,234,50,487,587,,,,,
Old Dominion NCAA,35,26,0.406,3.74,-1.18,2300,2128,1400,823,2026,264,756,0.349,388,585,0.663,418,1365,439,197,160,408,580,,,,,
Manhattan,32,11,0.405,-12.89,-7.32,1833,2011,1285,651,1608,219,661,0.331,312,534,0.584,326,1026,360,221,78,487,672,,,,,
Northwestern State,31,11,0.405,-17.06,-5.99,2051,2280,1250,725,1790,190,646,0.294,411,604,0.68,352,1103,340,192,138,496,578,,,,,
Stetson,31,7,0.405,-15.01,-3.46,2151,2429,1245,794,1962,215,684,0.314,348,503,0.692,359,1110,418,210,94,394,536,,,,,
Jackson State,32,13,0.404,-14.6,-9.33,1974,2107,1285,717,1774,155,554,0.28,385,607,0.634,331,1125,359,209,124,436,643,,,,,
Alabama State,31,12,0.404,-15.6,-7.84,2086,2235,1250,712,1764,216,673,0.321,446,684,0.652,365,1094,313,203,102,451,565,,,,,
George Washington,33,9,0.404,-6.65,1.2,2097,2356,1340,745,1842,196,631,0.311,411,600,0.685,274,1116,375,170,96,413,526,,,,,
San Jose State,31,4,0.404,-16.37,0.59,2042,2534,1250,713,1765,210,641,0.328,406,620,0.655,323,1130,423,131,52,484,539,,,,,
North Carolina-Asheville,31,4,0.403,-19.81,-2.35,1857,2313,1245,655,1627,223,687,0.325,324,437,0.741,298,931,331,196,86,456,533,,,,,
Northwestern,32,13,0.402,9.97,9.16,2108,2082,1290,735,1827,233,744,0.313,405,551,0.735,278,1086,451,176,134,349,583,,,,,
Fordham,32,12,0.402,-5.02,-2.4,2108,2141,1295,759,1890,276,831,0.332,314,462,0.68,305,1082,360,188,108,345,559,,,,,
Texas-El Paso,29,8,0.401,-8.23,-1.71,1859,2001,1170,639,1592,199,620,0.321,382,578,0.661,285,1070,307,135,84,466,551,,,,,
La Salle,31,10,0.4,-3.61,1.29,2091,2243,1240,719,1798,259,783,0.331,394,512,0.77,328,1060,391,230,98,435,630,,,,,
Savannah State,31,11,0.397,-20.51,-9.04,2360,2694,1245,825,2080,351,1199,0.293,359,531,0.676,383,1188,462,234,96,478,564,,,,,
Morgan State,30,9,0.395,-15.98,-10.7,2161,2304,1210,758,1920,168,521,0.322,477,669,0.713,397,1078,362,230,48,401,614,,,,,
Wake Forest,31,11,0.394,1.21,8.47,2119,2344,1250,714,1812,197,640,0.308,494,681,0.725,399,1174,329,150,77,417,555,,,,,
Notre Dame,33,14,0.393,7.97,8.28,2266,2276,1320,776,1973,272,863,0.315,442,594,0.744,370,1208,423,179,148,306,455,,,,,
Maryland-Eastern Shore,32,7,0.391,-24.21,-7.91,1833,2291,1285,666,1705,172,610,0.282,329,489,0.673,264,989,361,186,70,431,575,,,,,
North Alabama,32,10,0.389,-11,-1.69,2145,2358,1285,744,1914,240,805,0.298,417,619,0.674,351,1170,334,209,74,435,614,,,,,
Coppin State,33,8,0.389,-18.9,-7.11,2118,2507,1330,710,1827,240,841,0.285,458,689,0.665,314,1218,326,169,115,555,620,,,,,
Wagner,30,13,0.386,-12.99,-7.63,1974,2044,1205,655,1696,236,773,0.305,428,575,0.744,378,1095,351,184,108,414,639,,,,,
Kennesaw State,32,6,0.381,-16.17,-1.04,2030,2455,1285,742,1945,136,438,0.311,410,590,0.695,372,1163,362,185,106,437,525,,,,,
Mississippi Valley State,32,6,0.38,-22.47,-6.99,2058,2498,1285,730,1923,172,554,0.31,426,647,0.658,378,1165,361,176,70,415,570,,,,,
New Hampshire,29,5,0.376,-18.66,-6.03,1742,1990,1160,623,1656,261,787,0.332,235,385,0.61,260,986,325,116,53,356,533,,,,,
Delaware State,31,6,0.354,-26.82,-10.13,1956,2371,1240,695,1963,234,789,0.297,332,489,0.679,378,1144,333,214,66,435,589,,,,,
